course_link,Title,Instructor,duration,level,rating
https://www.pluralsight.com/courses/design-database-structure-sql-server-2014-70-465,Design a Database Structure with SQL Server 2014 (70-465),by Pluralsight,2h 36m,Intermediate,-60
https://www.pluralsight.com/courses/designing-deploying-exchange-2016-70-345-transport,Designing/Deploying Exchange 2016: Transport,by Paul Cunningham,2h 59m,Intermediate,-33
https://www.pluralsight.com/courses/intro-infosec-cloud-computing-ccsk,Introduction to Information Security within Cloud Computing,by Dr. Lyron H. Andrews,1h 20m,Beginner,-26
https://www.pluralsight.com/courses/threat-vulnerability-management-cysa-plus,Threat and Vulnerability Management for CompTIA CySA+,by Dale Meredith,3h 13m,Intermediate,-40
https://www.pluralsight.com/courses/designing-implementing-aws-networks,Designing and Implementing AWS Networks,by Michael Brown,2h 22m,Advanced,-18
https://www.pluralsight.com/courses/planning-sharepoint-server-2016-architecture-integrations,Planning for SharePoint Server 2016: Logical Architecture and Integrations,by Vlad Catrinescu,1h 36m,Intermediate,-31
https://www.pluralsight.com/courses/planning-sharepoint-server-2016-topology-services,Planning for SharePoint Server 2016: Physical Topology and Services,by Vlad Catrinescu,3h 32m,Intermediate,-47
https://www.pluralsight.com/courses/installing-configuring-macos,Installing and Configuring macOS,by Herta Nava,2h 10m,Intermediate,-18
https://www.pluralsight.com/courses/make-cost-optimized-decisions-aws,Make Cost-Optimized Decisions on AWS,by Michael Brown,1h 29m,Intermediate,-86
https://www.pluralsight.com/courses/automating-cisco-asa-firepower-policies-using-apis,Automating Cisco ASA and Firepower Policies Using APIs,by Nick Russo,2h 5m,Intermediate,-10
https://www.pluralsight.com/courses/windows-server-2016-high-availability,Implementing High Availability in Windows Server 2016,by Greg Shields,5h 17m,Intermediate,-42
https://www.pluralsight.com/courses/windows-server-2016-storage-solutions,Implementing Windows Server 2016 Storage Solutions,by Mike Pfeiffer,2h 27m,Intermediate,-62
https://www.pluralsight.com/courses/windows-server-2016-core-networking,Implementing and Securing Windows Server 2016 Core Networking,by Ben Piper,2h 43m,Intermediate,-26
https://www.pluralsight.com/courses/windows-server-2016-identity-federation-access-solutions,Implementing Windows Server 2016 Identity Federation and Access,by Neil Morrissey,3h 25m,Intermediate,-43
https://www.pluralsight.com/courses/windows-server-2016-planning-implementing-directaccess,Planning and Implementing DirectAccess with Windows Server 2016,by Richard Hicks,2h 31m,Intermediate,-30
https://www.pluralsight.com/courses/designing-hybrid-networks-aws,Designing Hybrid Networks in AWS,by Michael Brown,2h 9m,Advanced,-21
https://www.pluralsight.com/courses/sql-2012-database-administration-pt3,SQL Server 2012 Database Administration (70-462) Part 3,by Sean McCown,4h 51m,Intermediate,-341
https://www.pluralsight.com/courses/sql-server-compliance-and-auditing,"Practical SQL Server Security, Compliance, and Auditing",by Russ Thomas,3h 40m,Intermediate,-38
https://www.pluralsight.com/courses/microsoft-azure-administrator-automate-deployment-configuration-vm,Microsoft Azure Administrator: Automate Deployment and Configuration of Virtual Machines,by Michael Teske,34m,Beginner,-41
https://www.pluralsight.com/courses/microsoft-azure-solutions-architect-design-application-architecture,Microsoft Azure Solutions Architect: Design an Application Architecture,by Reza Salehi,1h 51m,Advanced,-28
https://www.pluralsight.com/courses/microsoft-azure-administrator-create-configure-containers,Microsoft Azure Administrator: Create and Configure Containers,by Michael Teske,38m,Beginner,-37
https://www.pluralsight.com/courses/android-tools-testing,Working with Android Tools and Testing,by Jim Wilson,2h 50m,Beginner,-146
https://www.pluralsight.com/courses/introduction-cisco-certified-devnet-professional-certification,Introduction to the Cisco Certified DevNet Professional Certification,by Nick Russo,17m,Intermediate,-22
https://www.pluralsight.com/courses/agile-fundamentals,Agile Fundamentals,by Stephen Haunts,2h 39m,Intermediate,-2276
https://www.pluralsight.com/courses/vlan-operation-configuration,VLAN Operation and Configuration,by Ross Bagurdes,2h 21m,Intermediate,-49
https://www.pluralsight.com/courses/cisco-enterprise-networks-implementing-ospf,Cisco Enterprise Networks: Implementing OSPF,by Ben Piper,2h 16m,Intermediate,-67
https://www.pluralsight.com/courses/linux-networking-advanced-lfce,LFCE: Advanced Linux Networking,by Anthony Nocentino,2h 45m,Intermediate,-77
https://www.pluralsight.com/courses/install-configure-adds-windows-server-2016,Install and Configure Active Directory Domain Services in Windows Server 2016,by Greg Shields,3h 19m,Intermediate,-113
https://www.pluralsight.com/courses/kubernetes-installation-configuration-fundamentals,Kubernetes Installation and Configuration Fundamentals,by Anthony Nocentino,3h 4m,Intermediate,-446
https://www.pluralsight.com/courses/managing-kubernetes-controllers-deployments,Managing Kubernetes Controllers and Deployments,by Anthony Nocentino,2h 48m,Intermediate,-98
https://www.pluralsight.com/courses/sql-2012-database-administration-pt2,SQL Server 2012 Database Administration (70-462) Part 2,by Sean McCown,5h 1m,Intermediate,-318
https://www.pluralsight.com/courses/automating-cisco-sd-wan-operations-using-apis,Automating Cisco SD-WAN Operations Using APIs,by Nick Russo,1h 33m,Intermediate,-17
https://www.pluralsight.com/courses/automating-cisco-dna-center-operations-using-apis,Automating Cisco DNA Center Operations Using APIs,by Nick Russo,1h 24m,Intermediate,-14
https://www.pluralsight.com/courses/akkadotnet-signalr-stateful-reactive-concurrent-spas,Stateful Reactive Concurrent SPAs with SignalR and Akka.NET 1,by Jason Roberts,2h 35m,Intermediate,-116
https://www.pluralsight.com/courses/managed-instance-groups-building-scalable-compute-solutions,Building Scalable Compute Solutions with Managed Instance Groups,by Vitthal Srinivasan,2h 6m,Intermediate,-10
https://www.pluralsight.com/courses/constructing-ui-angular,Constructing a User Interface with Angular,by David Mann,4h 34m,Intermediate,-78
https://www.pluralsight.com/courses/managing-modern-software-dependency-ecosystem,Managing the Modern Software Dependency Ecosystem,by Troy Hunt,29m,Intermediate,-42
https://www.pluralsight.com/courses/windows-workflows-powershell,Windows Workflows with Windows PowerShell,by Thomas Lee,2h 31m,Intermediate,-28
