"Course Title","Course URL","Duration","Rating"
"Planning a Machine Learning Project","https://explore.skillbuilder.aws/learn/course/external/view/elearning/6351/planning-a-machine-learning-project","30m 00s","5.0"
"Getting Started with AWS Storage","https://explore.skillbuilder.aws/learn/course/external/view/elearning/6233/getting-started-with-aws-storage","3h 15m","5.0"
"Protecting Your Instance with Security Groups","https://explore.skillbuilder.aws/learn/course/external/view/elearning/5300/protecting-your-instance-with-security-groups","07m 00s","5.0"
"Differences Between Security Groups and NACLs","https://explore.skillbuilder.aws/learn/course/external/view/elearning/4791/differences-between-security-groups-and-nacls","07m 00s","5.0"
"Understanding Amazon EBS Volume Encryption","https://explore.skillbuilder.aws/learn/course/external/view/elearning/4211/understanding-amazon-ebs-volume-encryption","02m 00s","5.0"
"Improve Code Quality with Amazon CodeGuru Reviewer","https://explore.skillbuilder.aws/learn/course/external/view/elearning/3632/improve-code-quality-with-amazon-codeguru-reviewer","1h 00m","5.0"
"Getting Started with AWS CloudFormation","https://explore.skillbuilder.aws/learn/course/external/view/elearning/3627/getting-started-with-aws-cloudformation","20m 00s","5.0"
"AWS Well-Architected","https://explore.skillbuilder.aws/learn/course/external/view/elearning/2045/aws-well-architected","1h 30m","5.0"
"AWS Cloud Practitioner Essentials: Cloud Concepts","https://explore.skillbuilder.aws/learn/course/external/view/elearning/2022/aws-cloud-practitioner-essentials-cloud-concepts","30m 00s","5.0"
"Getting Started with DevOps on AWS","https://explore.skillbuilder.aws/learn/course/external/view/elearning/2000/getting-started-with-devops-on-aws","1h 00m","5.0"
"AWS Cloud Practitioner Essentials: Core Services","https://explore.skillbuilder.aws/learn/course/external/view/elearning/1990/aws-cloud-practitioner-essentials-core-services","3h 00m","5.0"
"Introduction to Machine Learning","https://explore.skillbuilder.aws/learn/course/external/view/elearning/1970/introduction-to-machine-learning","10m 00s","5.0"
"AWS Foundations: Cost Management","https://explore.skillbuilder.aws/learn/course/external/view/elearning/1955/aws-foundations-cost-management","35m 00s","5.0"
"AWS Managed Services (AMS): Virtual Foundations Assessment","https://explore.skillbuilder.aws/learn/course/external/view/elearning/1937/aws-managed-services-ams-virtual-foundations-assessment","25m 00s","5.0"
"Tensorflow and PyTorch on AWS","https://explore.skillbuilder.aws/learn/course/external/view/elearning/1878/tensorflow-and-pytorch-on-aws","30m 00s","5.0"
"Twitch Series: AWS Power Hour Amazon Comprehend","https://explore.skillbuilder.aws/learn/course/external/view/elearning/1861/twitch-series-aws-power-hour-amazon-comprehend","1h 05m","5.0"
"Twitch Series: AWS Power Hour Introduction to Machine Learning for Developers","https://explore.skillbuilder.aws/learn/course/external/view/elearning/1854/twitch-series-aws-power-hour-introduction-to-machine-learning-for-developers","1h 05m","5.0"
"AWS Technical Essentials","https://explore.skillbuilder.aws/learn/course/external/view/elearning/1851/aws-technical-essentials","4h 00m","5.0"
"AWS Managed Services (AMS): Virtual Foundations Curriculum","https://explore.skillbuilder.aws/learn/course/external/view/elearning/1751/aws-managed-services-ams-virtual-foundations-curriculum","1h 15m","5.0"
"AWS Application Migration Service (AWS MGN) – A Technical Introduction","https://explore.skillbuilder.aws/learn/course/external/view/elearning/1727/aws-application-migration-service-aws-mgn-a-technical-introduction","2h 00m","5.0"
"Introduction to Amazon Elastic Load Balancer - Classic","https://explore.skillbuilder.aws/learn/course/external/view/elearning/1688/introduction-to-amazon-elastic-load-balancer-classic","14m 00s","5.0"
"Introduction to the AWS Cloud","https://explore.skillbuilder.aws/learn/course/external/view/elearning/1679/introduction-to-the-aws-cloud","20m 00s","5.0"
"AWS SaaS Factory Architecture Track: SaaS 101","https://explore.skillbuilder.aws/learn/course/external/view/elearning/1667/aws-saas-factory-architecture-track-saas-101","45m 00s","5.0"
"Migration Evaluator Overview for Customers","https://explore.skillbuilder.aws/learn/course/external/view/elearning/1646/migration-evaluator-overview-for-customers","30m 00s","5.0"
"Twitch Series: AWS Power Hour Amazon Personalize","https://explore.skillbuilder.aws/learn/course/external/view/elearning/1637/twitch-series-aws-power-hour-amazon-personalize","1h 05m","5.0"
"Introduction to Amazon Route 53","https://explore.skillbuilder.aws/learn/course/external/view/elearning/1630/introduction-to-amazon-route-53","08m 00s","5.0"
"AWS Managed Services (AMS): Application Onboarding","https://explore.skillbuilder.aws/learn/course/external/view/elearning/1603/aws-managed-services-ams-application-onboarding","1h 00m","5.0"
"Getting Started with Cloud Acquisition","https://explore.skillbuilder.aws/learn/course/external/view/elearning/1575/getting-started-with-cloud-acquisition","1h 20m","5.0"
"Introduction to AWS Media Services by Use Case","https://explore.skillbuilder.aws/learn/course/external/view/elearning/1558/introduction-to-aws-media-services-by-use-case","45m 00s","5.0"
"Twitch Series: AWS Power Hour Amazon Connect & Amazon Lex","https://explore.skillbuilder.aws/learn/course/external/view/elearning/1535/twitch-series-aws-power-hour-amazon-connect-amazon-lex","1h 10m","5.0"
"Amazon Route 53 - Basics of Domain Name System (AWS Support)","https://explore.skillbuilder.aws/learn/course/external/view/elearning/1528/amazon-route-53-basics-of-domain-name-system-aws-support","15m 00s","5.0"
"Introduction to Deep Learning","https://explore.skillbuilder.aws/learn/course/external/view/elearning/1506/introduction-to-deep-learning","20m 00s","5.0"
"AWS Managed Services Architecture: Customer Environments","https://explore.skillbuilder.aws/learn/course/external/view/elearning/1498/aws-managed-services-architecture-customer-environments","1h 15m",""
"Twitch Series: AWS Power Hour Amazon Kendra","https://explore.skillbuilder.aws/learn/course/external/view/elearning/1476/twitch-series-aws-power-hour-amazon-kendra","1h 05m","5.0"
"Twitch Series: AWS Power Hour Amazon CodeGuru","https://explore.skillbuilder.aws/learn/course/external/view/elearning/1444/twitch-series-aws-power-hour-amazon-codeguru","1h 05m",""
"Introduction to Artificial Intelligence","https://explore.skillbuilder.aws/learn/course/external/view/elearning/1423/introduction-to-artificial-intelligence","10m 00s","5.0"
"Machine Learning Essentials for Business and Technical Decision Makers","https://explore.skillbuilder.aws/learn/course/external/view/elearning/1404/machine-learning-essentials-for-business-and-technical-decision-makers","1h 30m","5.0"
"Understanding AWS Networking Gateways","https://explore.skillbuilder.aws/learn/course/external/view/elearning/1377/understanding-aws-networking-gateways","30m 00s","5.0"
"Troubleshooting: AWS CloudFormation Stacks","https://explore.skillbuilder.aws/learn/course/external/view/elearning/1336/troubleshooting-aws-cloudformation-stacks","30m 00s","5.0"
"Video Streaming Concepts: AWS Media Services","https://explore.skillbuilder.aws/learn/course/external/view/elearning/1323/video-streaming-concepts-aws-media-services","1h 00m","5.0"
"ServiceNow Connector Application","https://explore.skillbuilder.aws/learn/course/external/view/elearning/1321/servicenow-connector-application","8h 00m","5.0"
"Twitch Series: AWS Power Hour Amazon Textract","https://explore.skillbuilder.aws/learn/course/external/view/elearning/1311/twitch-series-aws-power-hour-amazon-textract","1h 05m","5.0"
"AWS Managed Services (AMS): Introduction","https://explore.skillbuilder.aws/learn/course/external/view/elearning/1298/aws-managed-services-ams-introduction","20m 00s","5.0"
"Accessibility Audit","https://explore.skillbuilder.aws/learn/course/external/view/elearning/1282/accessibility-audit","15m 00s","4.0"
"AWS Certification Subject Matter Expert Training","https://explore.skillbuilder.aws/learn/course/external/view/elearning/1117/aws-certification-subject-matter-expert-training","2h 30m","5.0"
"Migrating from Apache Cassandra to Amazon Keyspaces","https://explore.skillbuilder.aws/learn/course/external/view/elearning/526/migrating-from-apache-cassandra-to-amazon-keyspaces","30m 00s","5.0"
"Migrating from Microsoft SQL Server to Amazon RDS","https://explore.skillbuilder.aws/learn/course/external/view/elearning/523/migrating-from-microsoft-sql-server-to-amazon-rds","30m 00s","5.0"
"Migrating from MongoDB to Amazon DocumentDB","https://explore.skillbuilder.aws/learn/course/external/view/elearning/521/migrating-from-mongodb-to-amazon-documentdb","30m 00s","5.0"
"Migrating from Redis to Amazon ElastiCache","https://explore.skillbuilder.aws/learn/course/external/view/elearning/520/migrating-from-redis-to-amazon-elasticache","30m 00s","5.0"
"Migrating from MySQL to Amazon RDS","https://explore.skillbuilder.aws/learn/course/external/view/elearning/518/migrating-from-mysql-to-amazon-rds","30m 00s","5.0"
"Introduction to AWS Solutions","https://explore.skillbuilder.aws/learn/course/external/view/elearning/515/introduction-to-aws-solutions","45m 00s","5.0"
"Migrating from Oracle to Amazon RDS","https://explore.skillbuilder.aws/learn/course/external/view/elearning/508/migrating-from-oracle-to-amazon-rds","30m 00s","5.0"
"Twitch Series: AWS Power Hour Machine Learning","https://explore.skillbuilder.aws/learn/course/external/view/elearning/506/twitch-series-aws-power-hour-machine-learning","8h 00m","5.0"
