Course Title,Course URL,Duration,Rating,Cost,Level,Description,Platform
Getting Started with AWS for Games – Part II,https://explore.skillbuilder.aws/learn/course/external/view/elearning/9406/getting-started-with-aws-for-games-part-ii,30m 00s,5.0,Free,Fundamental,"This course is scheduled to be updated on Friday, April 7, 2023 at which time your progress in the course will be disrupted. If you have completed the course prior to that date, your progress will not be impacted.",AWS
AWS Cloud Essentials for Business Leaders (Financial Services),https://explore.skillbuilder.aws/learn/course/external/view/elearning/9200/aws-cloud-essentials-for-business-leaders-financial-services,2h 00m,5.0,Free,Fundamental,Languages Available: Deutsch | Español (Latinoamérica) | Français | Bahasa Indonesia | ไทย | Italiano | 日本語 | 한국어 | Português (Brasil) | 中文（简体) | 中文（繁體) | Tiếng Việt,AWS
AWS Cloud Essentials for Business Leaders,https://explore.skillbuilder.aws/learn/course/external/view/elearning/9199/aws-cloud-essentials-for-business-leaders,2h 00m,5.0,Free,Fundamental,Languages Available: Deutsch | Español (Latinoamérica) | Français | Bahasa Indonesia | ไทย | Italiano | 日本語 | 한국어 | Português (Brasil) | 中文（简体) | 中文（繁體) | Tiếng Việt,AWS
Installing AWS Outposts Servers,https://explore.skillbuilder.aws/learn/course/external/view/elearning/8828/installing-aws-outposts-servers,10m 00s,5.0,Free,Fundamental,"This course is scheduled to be updated on Wednesday, November 9, 2022 at which time your progress in the course will be disrupted. If you have completed the course prior to that date, your progress will not be impacted.",AWS
Getting Started with Amazon EMR,https://explore.skillbuilder.aws/learn/course/external/view/elearning/8827/getting-started-with-amazon-emr,1h 00m,5.0,Free,Fundamental,"Amazon EMR is a service for processing vast amounts of data using open-source tools such as Apache Spark, Apache Hive, Apache HBase, Apache Flink, Apache Hudi, and Presto. You can use Amazon EMR to set up, operate, and scale your big data environments and automate time-consuming tasks like provisioning capacity and tuning clusters. In this course, you will learn the benefits, typical use cases, and technical concepts of Amazon EMR. You will have an opportunity to try the service through a demonstration using the AWS Management Console.",AWS
Introduction to Step Functions,https://explore.skillbuilder.aws/learn/course/external/view/elearning/8819/introduction-to-step-functions,35m 00s,5.0,Free,Fundamental,"AWS Step Functions is a low-code visual workflow service used to orchestrate Amazon Web Services (AWS) services, automate business processes, and build serverless applications. This course introduces the key components of Step Functions to help you get started managing workflows within an application.",AWS
Getting Started with AWS Glue,https://explore.skillbuilder.aws/learn/course/external/view/elearning/8171/getting-started-with-aws-glue,1h 00m,5.0,Free,Fundamental,"AWS Glue is a serverless data integration service that you can use to discover, prepare, and combine data for analytics, machine learning (ML), and application development. In this course, you will learn the benefits, typical use cases, and technical concepts of AWS Glue. You will have an opportunity to try the service through a demonstration using the AWS Management Console.",AWS
Planning a Machine Learning Project,https://explore.skillbuilder.aws/learn/course/external/view/elearning/6351/planning-a-machine-learning-project,30m 00s,5.0,Free,Fundamental,This course introduces requirements to determine if machine learning (ML) is the appropriate solution to a business problem.,AWS
Getting Started with AWS Storage,https://explore.skillbuilder.aws/learn/course/external/view/elearning/6233/getting-started-with-aws-storage,3h 15m,5.0,Free,Fundamental,"We have updated this course on September 20, 2022 to correct a problem that was impacting course completion. If you are enrolled in the course and have not completed it, your progress may be impacted. We apologize for any inconvenience this may cause.",AWS
Protecting Your Instance with Security Groups,https://explore.skillbuilder.aws/learn/course/external/view/elearning/5300/protecting-your-instance-with-security-groups,07m 00s,5.0,Free,Fundamental,"In this introductory video, we review how to secure access to your individual instances within AWS. We also explain how to use security groups to control permission and authorize traffic based on the source, defined as IP range, protocol and port.",AWS
Differences Between Security Groups and NACLs,https://explore.skillbuilder.aws/learn/course/external/view/elearning/4791/differences-between-security-groups-and-nacls,07m 00s,5.0,Free,Fundamental,"This is an introductory course on the differences between security groups and NACLs, or Network Access Control Lists. In this course, we discuss how to secure the networking of your applications in AWS by using these two resources. We also review concepts like stateless and stateful to help you more effectively control traffic flow to and from your application.",AWS
Understanding Amazon EBS Volume Encryption,https://explore.skillbuilder.aws/learn/course/external/view/elearning/4211/understanding-amazon-ebs-volume-encryption,02m 00s,5.0,Free,Fundamental,"Amazon EBS Volume Encryption is an AWS encryption service that helps you protect your data. In this introductory course, we describe how this service works in conjunction with AWS Key Management Service (Amazon KMS) and how you can begin using it right away.",AWS
Improve Code Quality with Amazon CodeGuru Reviewer,https://explore.skillbuilder.aws/learn/course/external/view/elearning/3632/improve-code-quality-with-amazon-codeguru-reviewer,1h 00m,5.0,Free,Fundamental,,AWS
