Course Title,Course URL,Duration,Rating,Cost,Level,Description,Platform
Amazon DynamoDB – Architecture and Features,https://explore.skillbuilder.aws/learn/course/external/view/elearning/50/amazon-dynamodb-architecture-and-features,15m 00s,4.0,Free,Fundamental,"In this APN Navigate technical course, you will be introduced to the architecture and features of Amazon DynamoDB. The course provides a tailored path for AWS Partner Network (APN) Partners to learn about core components of Amazon DynamoDB, including the table, global secondary index, and local secondary index. You will also review important features such as transactions, automatic scaling, and global tables.",AWS
Introduction to Amazon Elastic Compute Cloud (EC2),https://explore.skillbuilder.aws/learn/course/external/view/elearning/49/introduction-to-amazon-elastic-compute-cloud-ec2,09m 00s,5.0,Free,Fundamental,"This is an introduction to Amazon Elastic Compute Cloud or Amazon EC2, a web service that provides secure, resizable compute capacity in the cloud. In this course, we provide an overview of the service and demonstrate how to build and configure an Amazon EC2 instance.",AWS
Building Highly Connected Applications using Amazon Neptune,https://explore.skillbuilder.aws/learn/course/external/view/elearning/46/building-highly-connected-applications-using-amazon-neptune,30m 00s,5.0,Free,Fundamental,"This course introduces you to the fully managed graph database service, Amazon Neptune, and covers graph models, graph use cases, and how Amazon Neptune can be leveraged to build highly connected applications.",AWS
Data Analytics Fundamentals,https://explore.skillbuilder.aws/learn/course/external/view/elearning/44/data-analytics-fundamentals,3h 30m,5.0,Free,Fundamental,"We have updated this course on October 7, 2022 to correct a problem that was impacting course completion. If you are enrolled in the course and have not completed it, your progress may be impacted. We apologize for any inconvenience this may cause",AWS
AWS Hadoop Fundamentals,https://explore.skillbuilder.aws/learn/course/external/view/elearning/43/aws-hadoop-fundamentals,1h 30m,5.0,Free,Fundamental,"AWS Hadoop Fundamentals introduces you to the basics of big data and how Hadoop as a framework handles it. This course discusses Hadoop architectures and how large sets of data are stored and processed. The course explains several tools used in the process: MapReduce, Hive, and Pig. The course also examines Hadoop as part of the AWS big data ecosystem.",AWS
Visualizing with QuickSight,https://explore.skillbuilder.aws/learn/course/external/view/elearning/41/visualizing-with-quicksight,4h 00m,5.0,Free,Fundamental,"In this course, you will be introduced to the technical side of business intelligence (BI) and data visualization with Amazon Web Services (AWS). You will focus on using Amazon QuickSight to build and share interactive dashboards and analyses. You will learn how to embed dashboards into applications and websites, and securely manage access and permissions. You will also see how to connect to and prepare data from services such as Amazon Simple Storage Service (Amazon S3), Amazon Relational Database Service (Amazon RDS), Amazon Redshift, Amazon Athena, and AWS Glue, as well as on-premises data sources through virtual private clouds (VPCs) and application connectors.",AWS
Introduction to Serverless Development,https://explore.skillbuilder.aws/learn/course/external/view/elearning/37/introduction-to-serverless-development,25m 00s,5.0,Free,Fundamental,"This course will orient you to key serverless concepts to help you start developing serverless applications. You will learn how development best practices you already use in server-based development apply to serverless development, and how to adjust your development processes for serverless application development.",AWS
Understanding CIDR Notation,https://explore.skillbuilder.aws/learn/course/external/view/elearning/35/understanding-cidr-notation,05m 00s,5.0,Free,Fundamental,"This course is an introduction to Classless Internet Domain Routing (CIDR) notation. We review how an IP address maps to a series of 32-bit octets, how to declare a range of IP addresses as your CIDR block, and how to divide that range to provide IP address access to your subnets.",AWS
Introduction to Amazon Elastic Load Balancer - Application,https://explore.skillbuilder.aws/learn/course/external/view/elearning/30/introduction-to-amazon-elastic-load-balancer-application,15m 00s,5.0,Free,Fundamental,,AWS
Introduction to Amazon CloudFront,https://explore.skillbuilder.aws/learn/course/external/view/elearning/28/introduction-to-amazon-cloudfront,10m 00s,5.0,Free,Fundamental,"This course provides a brief overview of how Amazon CloudFront can be used to scale out and improve performance for your applications. The creation and configuration of an Amazon CloudFront Cloud Distribution Network, or CDN, is also covered in this course and through a demonstration.",AWS
.NET Workloads on AWS Lambda,https://explore.skillbuilder.aws/learn/course/external/view/elearning/15308/net-workloads-on-aws-lambda,1h 30m,5.0,Free,Intermediate,"In this course, developers who use C# will learn how to create and deploy .NET applications in AWS Cloud using AWS Lambda. It includes step-by-step tutorials.",AWS
"Amazon EC2 Observability, Monitoring, and Troubleshooting",https://explore.skillbuilder.aws/learn/course/external/view/elearning/15115/amazon-ec2-observability-monitoring-and-troubleshooting,2h 00m,5.0,Free,Intermediate,"Amazon Elastic Compute Cloud (Amazon EC2) provides scalable computing capacity for your workloads in the cloud. Monitoring the performance of your infrastructure through the lens of observability verifies the continued optimal performance of your Amazon EC2 instances. The ability to identify and quickly troubleshoot issues mitigates negative impacts to your business and ensures continued business operations. This course introduces observability and monitoring techniques and their importance to the health of your EC2 instances. Additionally, you will interact with tools and services to assist you in supporting and troubleshooting common issues.",AWS
Data Modeling for Amazon DocumentDB,https://explore.skillbuilder.aws/learn/course/external/view/elearning/15024/data-modeling-for-amazon-documentdb,1h 00m,5.0,Free,Intermediate,"To efficiently meet business needs when designing databases, data modeling is critical.  In this course, you will learn the fundamental concepts and best practices of modeling your data with Amazon DocumentDB. You will examine three use cases of modeling or structuring your data, and complete small decision-making exercises to address a hypothetical application need.",AWS
Building Event-Driven Applications With Amazon EventBridge (Includes Labs),https://explore.skillbuilder.aws/learn/course/external/view/elearning/15017/building-event-driven-applications-with-amazon-eventbridge-includes-labs,3h 00m,5.0,Requires Subscription,Intermediate,"Amazon EventBridge is a serverless event bus that makes it easy to connect applications together using data from customers applications, integrated software-as-a-service (SaaS) applications, and AWS services. You can use this service to build event-driven apps and route events from AWS services, or third-party apps or custom events that get created.",AWS
Building Event-Driven Applications With Amazon EventBridge,https://explore.skillbuilder.aws/learn/course/external/view/elearning/15008/building-event-driven-applications-with-amazon-eventbridge,2h 00m,4.0,Free,Intermediate,"Amazon EventBridge is a serverless event bus that makes it easy to connect applications together using data from customers applications, integrated software-as-a-service (SaaS) applications, and AWS services. You can use this service to build event-driven apps and route events from AWS services, or third-party apps or custom events that get created.",AWS
Build with Amazon MemoryDB for Redis,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14997/build-with-amazon-memorydb-for-redis,1h 00m,5.0,Free,Intermediate,"Amazon MemoryDB for Redis is a Redis-compatible, durable, in-memory database service that is designed to deliver ultrafast performance to meet your application needs. This course builds on the Getting Started with Amazon MemoryDB for Redis course by demonstrating more advanced configuration, service integration, deployment and monitoring options for MemoryDB.",AWS
AWS IoT Business Opportunities for Telecom Operators,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14907/aws-iot-business-opportunities-for-telecom-operators,45m 00s,5.0,Free,Intermediate,,AWS
Mainframe Workloads Fast Track to Agility,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14906/mainframe-workloads-fast-track-to-agility,1h 15m,5.0,Free,Intermediate,"We have updated this course on January 24th 2023 to correct a problem that was impacting course completion. If you are enrolled in the course and have not completed it, your progress may be impacted. We apologize for any inconvenience this may cause.",AWS
.NET Workloads on AWS App Runner,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14897/net-workloads-on-aws-app-runner,2h 00m,5.0,Free,Intermediate,"In this course, developers familiar with C# will learn how to use AWS App Runner to write and launch container images into the Amazon Web Services (AWS) Cloud. During the course, learners use .NET 6 to build Linux containers that run C# code.",AWS
AWS Best Practices for Hybrid Cloud Adoption,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14886/aws-best-practices-for-hybrid-cloud-adoption,1h 00m,5.0,Free,Intermediate,"This course is designed to address challenges that hybrid cloud adopters frequently encounter after they have embraced the value proposition of the cloud. This course also includes a series of videos showing how a fictional customer is implementing their own hybrid cloud approach to optimize their storage and compute workflows. After taking this course, you will be able to create a viable hybrid cloud adoption strategy for your organization’s storage and compute needs. You will also have a strong understanding of the many AWS services available to help you achieve your business goals.",AWS
Data Modeling for Amazon ElastiCache for Redis,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14775/data-modeling-for-amazon-elasticache-for-redis,45m 00s,5.0,Free,Intermediate,"Data modeling is critical when designing databases to efficiently meet business needs. Optimal data models can lead to better application performance and help facilitate downstream reporting. In this course, you will learn how to construct effective data models when building solutions with Amazon ElastiCache for Redis. You will learn fundamental concepts like keys and data types. You will also examine several use cases and complete small decision-making exercises to choose the correct data type to address a hypothetical application need.",AWS
Right Size Your Amazon EC2 Workload,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14765/right-size-your-amazon-ec2-workload,2h 00m,5.0,Free,Intermediate,"Amazon Elastic Compute Cloud (Amazon EC2) provides scalable computing capacity in the Amazon Web Services (AWS) Cloud. Over-provisioning your resources can lead to unnecessary cost and under-provisioning resources can lead to poor performance. In this course, you explore how to cost optimize and rightsize your Amazon EC2 instances.",AWS
AWS Observability,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14688/aws-observability,5h 00m,5.0,Free,Intermediate,This is a four-part course that helps technical AWS cloud operations and devops teams understand the core fundamentals of AWS Observability using Amazon Web Services (AWS) management and governance services.,AWS
Troubleshooting: Amazon Connect,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14680/troubleshooting-amazon-connect,1h 00m,5.0,Free,Intermediate,"In this course, you will learn how to gather information about Amazon Connect and use this information to help troubleshoot common issues. You will also learn how to provide effective support case details if you need to escalate to Amazon Web Services (AWS) Support.",AWS
Amazon EKS for Developers - Online Course Supplement,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14608/amazon-eks-for-developers-online-course-supplement,1h 00m,4.0,Free,Intermediate,"This course is scheduled to be updated on Monday, April 17, 2023 at which time your progress in the course will be disrupted. If you have completed the course prior to that date, your progress will not be impacted.",AWS
Amazon Connect: Implementing Chat in Connect,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14504/amazon-connect-implementing-chat-in-connect,1h 00m,5.0,Free,Intermediate,This is a course within the Amazon Connect curriculum. We introduce you to how you can use Amazon Connect Chat to communicate with customers. We explore how Amazon Connect Chat aligns with your organizational needs and integrates with AWS services to manage the chat experience.,AWS
AWS Migration Hub Primer,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14473/aws-migration-hub-primer,1h 30m,5.0,Free,Intermediate,"Welcome to the AWS Migration Hub Primer. Migration Hub is the place to identify, access, and use Amazon Web Services (AWS) migration tools to assess, plan, execute, and track your migration to AWS and to refactor applications running on AWS. Migration Hub helps you streamline and accelerate your journey to AWS by providing the tools to discover on-premises server inventories and store in a central location, analyze your data to form applications, identify dependencies, generate cost estimates, plan your migration strategy, and automate and track your migration.",AWS
Amazon Connect: Implementing Task on Connect,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14209/amazon-connect-implementing-task-on-connect,2h 00m,5.0,Free,Intermediate,This is a course within the Amazon Connect curriculum. Become familiar with the configurations and rules for Amazon Connect Tasks. Walk through the various ways to create and schedule tasks to make your contact center more efficient. Use task reporting options to gain more visibility into your contact center and customers’ needs.,AWS
AWS for Games - Databases,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14161/aws-for-games-databases,2h 00m,5.0,Free,Intermediate,"This course focuses on Amazon Web Services (AWS) database services and how they map to common game use cases. Learners will dive into the technical and business reasons to use one service over another, best practices, and service combinations. Additionally, we will share reasons not to use certain services and reasons that prevent the use of a specific service. We will also discuss the migration of on-premises or other database solutions to AWS services. Throughout this course we will be using an example game concept, Farm the Moon, to show common use cases and the AWS services used to run them.",AWS
Troubleshooting: Amazon Simple Notification Service,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14124/troubleshooting-amazon-simple-notification-service,1h 00m,5.0,Free,Intermediate,"In this course, you will learn how to view configuration information, monitor processes, and gather diagnostic data about Amazon Simple Notification Service (Amazon SNS). You will also learn how to use this information to help troubleshoot common issues and provide effective support case details if you need to escalate an issue to Amazon Web Services (AWS) Support.",AWS
Troubleshooting: Amazon CloudWatch,https://explore.skillbuilder.aws/learn/course/external/view/elearning/13812/troubleshooting-amazon-cloudwatch,1h 00m,5.0,Free,Intermediate,"In this course, you will learn how to gather information about Amazon CloudWatch and use this information to help troubleshoot common issues. You will also learn how to provide effective support case details if you need to escalate to Amazon Web Services (AWS) Support.",AWS
Connecting Systems and Machines to AWS for Industrial Manufacturing,https://explore.skillbuilder.aws/learn/course/external/view/elearning/13797/connecting-systems-and-machines-to-aws-for-industrial-manufacturing,45m 00s,5.0,Free,Intermediate,,AWS
Building with AWS IoT SiteWise,https://explore.skillbuilder.aws/learn/course/external/view/elearning/13693/building-with-aws-iot-sitewise,2h 15m,5.0,Free,Intermediate,Do you need near real-time monitoring on your industrial equipment? What if you can visualize machine data and compute metrics that are important to your business? How might this functionality improve your operations?,AWS
Introduction to AWS Cloud Game Development,https://explore.skillbuilder.aws/learn/course/external/view/elearning/13692/introduction-to-aws-cloud-game-development,1h 00m,5.0,Free,Intermediate,,AWS
Troubleshooting: Simple Storage Service (S3),https://explore.skillbuilder.aws/learn/course/external/view/elearning/13527/troubleshooting-simple-storage-service-s3,1h 00m,5.0,Free,Intermediate,"In this course, you will learn how to gather information about Amazon Simple Storage Service (Amazon S3). Use this information to help troubleshoot common issues and provide effective support case details if you need to escalate to Amazon Web Services (AWS) Support.",AWS
Troubleshooting: Amazon Virtual Private Cloud (Amazon VPC),https://explore.skillbuilder.aws/learn/course/external/view/elearning/13490/troubleshooting-amazon-virtual-private-cloud-amazon-vpc,30m 00s,5.0,Free,Intermediate,Course description,AWS
Troubleshooting: Amazon Simple Email Service,https://explore.skillbuilder.aws/learn/course/external/view/elearning/13064/troubleshooting-amazon-simple-email-service,1h 00m,5.0,Free,Intermediate,"In this course, you will learn how to view configuration information, monitor processes, and gather diagnostic data about Amazon Simple Email Service (Amazon SES). You will also learn how to use this information to help troubleshoot common issues and provide effective support case details if you need to escalate an issue to Amazon Web Services (AWS) Support.",AWS
Build with Amazon EC2,https://explore.skillbuilder.aws/learn/course/external/view/elearning/12996/build-with-amazon-ec2,2h 30m,5.0,Free,Intermediate,,AWS
Running High Performance Applications with Amazon FSx,https://explore.skillbuilder.aws/learn/course/external/view/elearning/12930/running-high-performance-applications-with-amazon-fsx,1h 00m,5.0,Free,Intermediate,,AWS
Moving to the Cloud with Amazon FSx,https://explore.skillbuilder.aws/learn/course/external/view/elearning/12913/moving-to-the-cloud-with-amazon-fsx,1h 00m,5.0,Free,Intermediate,"This course is scheduled to be updated on Tuesday, March 7, 2023 at which time your progress in the course will be disrupted. If you have completed the course prior to that date, your progress will not be impacted.",AWS
Build with Amazon FSx for OpenZFS,https://explore.skillbuilder.aws/learn/course/external/view/elearning/12846/build-with-amazon-fsx-for-openzfs,1h 00m,5.0,Free,Intermediate,,AWS
Deploying Serverless Applications,https://explore.skillbuilder.aws/learn/course/external/view/elearning/12836/deploying-serverless-applications,1h 30m,5.0,Free,Intermediate,"This course will get you started on deploying applications through the serverless lens. In this course, you will learn what an automated pipeline for a serverless application might look like using tools from the AWS developer tools suite and the AWS Serverless Application Model (AWS SAM). You will also learn about serverless application deployment best practices and approaches and the features available within AWS. Finally, you will learn how to implement an automated continuous integration and continuous delivery (CI/CD) pipeline and the automated invocation mechanisms that you can use for autonomous deployments.",AWS
Architecting Serverless Applications,https://explore.skillbuilder.aws/learn/course/external/view/elearning/12716/architecting-serverless-applications,2h 00m,5.0,Free,Intermediate,"This course will get you started on migration considerations and introduces common patterns that you can use as the basis for many serverless applications. In this course, you will learn about the different compute and data store services that you need to consider and the trade-offs for each. You will also learn about the architectures for common patterns such as microservices, web applications, data streams, Alexa skills, and mobile backends, and the service configurations you can make for each.",AWS
Designing Event-Driven Architectures,https://explore.skillbuilder.aws/learn/course/external/view/elearning/12715/designing-event-driven-architectures,2h 00m,5.0,Free,Intermediate,"This course is scheduled to be updated on Monday, March 27, 2023 at which time your progress in the course will be disrupted. If you have completed the course prior to that date, your progress will not be impacted.",AWS
Security and Observability for Serverless Applications,https://explore.skillbuilder.aws/learn/course/external/view/elearning/12714/security-and-observability-for-serverless-applications,1h 30m,5.0,Free,Intermediate,"This course is scheduled to be updated on Monday, March 27, 2023 at which time your progress in the course will be disrupted. If you have completed the course prior to that date, your progress will not be impacted.",AWS
Scaling Serverless Architectures,https://explore.skillbuilder.aws/learn/course/external/view/elearning/12713/scaling-serverless-architectures,1h 30m,5.0,Free,Intermediate,"We have updated this course on January 18, 2023 to correct a problem that was impacting course completion. If you are enrolled in the course and have not completed it, your progress may be impacted. We apologize for any inconvenience this may cause.",AWS
AWS Well-Architected Considerations for Financial Services,https://explore.skillbuilder.aws/learn/course/external/view/elearning/12692/aws-well-architected-considerations-for-financial-services,45m 00s,5.0,Free,Intermediate,Course description,AWS
Troubleshooting: Amazon DynamoDB,https://explore.skillbuilder.aws/learn/course/external/view/elearning/12617/troubleshooting-amazon-dynamodb,45m 00s,5.0,Free,Intermediate,"In this course, you will learn how to view configuration information, monitor processes, and gather diagnostic data about Amazon DynamoDB. You will also learn how to use this information to help troubleshoot common issues and provide effective support case details if you need to escalate an issue to Amazon Web Services (AWS) Support.",AWS
Troubleshooting: AWS VPN,https://explore.skillbuilder.aws/learn/course/external/view/elearning/12458/troubleshooting-aws-vpn,1h 00m,4.0,Free,Intermediate,"In this course, you will learn how to gather information about AWS VPN services and use this information to help troubleshoot common issues such as connections failing, tunnel stability, and performance. You will also learn how to provide effective support case details if you need to escalate to Amazon Web Services (AWS) Support.",AWS
AWS for Games Containers Principles,https://explore.skillbuilder.aws/learn/course/external/view/elearning/12370/aws-for-games-containers-principles,3h 55m,5.0,Free,Intermediate,"Game migration to the cloud is accelerating. To operate efficiently on AWS, game creators need to understand the principles of modern, cloud-native application design. Containers are a key component of cloud-native implementations. However, while game creators want to adopt containerization, they are not clear how to go about it. What are the benefits and challenges they will encounter? What are key game-specific use cases and how do they design solutions? What are the design considerations, patterns, and best practices for containerizing game workloads? What AWS container services are available? Which services should they use, and under what circumstances?",AWS
Troubleshooting: Amazon API Gateway,https://explore.skillbuilder.aws/learn/course/external/view/elearning/12269/troubleshooting-amazon-api-gateway,1h 00m,5.0,Free,Intermediate,,AWS
Building AWS Solutions: Scale-Out Computing on AWS,https://explore.skillbuilder.aws/learn/course/external/view/elearning/12052/building-aws-solutions-scale-out-computing-on-aws,45m 00s,5.0,Free,Intermediate,"In this course, you will learn about the benefits, architecture, deployment, and additional features of the Scale-Out Computing on AWS solution.",AWS
AWS Backup Primer,https://explore.skillbuilder.aws/learn/course/external/view/elearning/11646/aws-backup-primer,1h 10m,5.0,Free,Intermediate,"Welcome to the AWS Backup Primer course! This course introduces you to the concepts and technologies within AWS Backup, so that you can quickly begin using AWS Backup in your environment. This course discusses the features, benefits, use cases, and key elements of AWS Backup, with a focus on Amazon Web Services (AWS) service integrations. You then examine pricing and pricing options per AWS service. Finally, you learn how to monitor and audit your AWS Backup implementation using AWS Backup Audit Manager.",AWS
AWS Security Best Practices: Monitoring and Alerting,https://explore.skillbuilder.aws/learn/course/external/view/elearning/11264/aws-security-best-practices-monitoring-and-alerting,2h 00m,5.0,Free,Intermediate,"Currently, the average cost of a security breach can be upwards of $4 million. AWS Security Best Practices provides an overview of some of the industry best practices for using AWS security and control types.",AWS
AWS Security Best Practices: Computing,https://explore.skillbuilder.aws/learn/course/external/view/elearning/11263/aws-security-best-practices-computing,2h 00m,5.0,Free,Intermediate,"Currently, the average cost of a security breach can be upwards of $4 million. AWS Security Best Practices provides an overview of some of the industry best practices for using AWS security and control types.This course focuses on understanding and implementing Amazon Web Services (AWS) security best practices for compute with a deep dive on compute security.",AWS
Designing Blockchain Solutions using Amazon Managed Blockchain,https://explore.skillbuilder.aws/learn/course/external/view/elearning/11257/designing-blockchain-solutions-using-amazon-managed-blockchain,45m 00s,5.0,Free,Intermediate,"In this course, you will learn how to design blockchain solutions using Amazon Managed Blockchain. You will learn about the blockchain frameworks supported on Managed Blockchain (Hyperledger Fabric and Ethereum) and how to choose the right framework option to support a given use case. You will also gain an understanding of AWS blockchain solution design principles and best practices by examining reference architectures and real-world customer examples.",AWS
AWS Security Best Practices: Network Infrastructure,https://explore.skillbuilder.aws/learn/course/external/view/elearning/11218/aws-security-best-practices-network-infrastructure,1h 30m,5.0,Free,Intermediate,"Currently, the average cost of a security breach can be upwards of $4 million. AWS Security Best Practices provides an overview of some of the industry best practices for using AWS security and control types.",AWS
Security Governance at Scale – Technical (Digital),https://explore.skillbuilder.aws/learn/course/external/view/elearning/11173/security-governance-at-scale-technical-digital,4h 00m,5.0,Free,Intermediate,"Security is foundational to AWS. Governance at scale is a new concept for automating cloud governance that can help organizations retire manual processes in account management, budget enforcement, and security and compliance. By automating common challenges, companies can scale without inhibiting agility, speed, or innovation. In addition, they can provide decision makers with the visibility, control, and governance necessary to protect sensitive data and systems.",AWS
AWS Security Best Practices: Overview,https://explore.skillbuilder.aws/learn/course/external/view/elearning/11172/aws-security-best-practices-overview,1h 35m,5.0,Free,Intermediate,"Currently, the average cost of a security breach can be upwards of $4 million. AWS Security Best Practices provides an overview of some of the industry best practices for using AWS security and control types.",AWS
AWS Elastic Disaster Recovery - A Technical Introduction,https://explore.skillbuilder.aws/learn/course/external/view/elearning/11123/aws-elastic-disaster-recovery-a-technical-introduction,1h 30m,5.0,Free,Intermediate,"In this course, you will gain in-depth familiarity with AWS Elastic Disaster Recovery, including key technology features and best practices. You will learn how to set up Elastic Disaster Recovery and maintain disaster readiness during normal business operation. You will also review how to fail over to AWS in the event of a disaster, and then fail back to your source to help return to normal business operation after disaster resolution.",AWS
Troubleshooting: Amazon Elastic Container Service (Amazon ECS),https://explore.skillbuilder.aws/learn/course/external/view/elearning/11107/troubleshooting-amazon-elastic-container-service-amazon-ecs,30m 00s,5.0,Free,Intermediate,"This course is scheduled to be updated on Monday, March 20, 2023 at which time your progress in the course will be disrupted. If you have completed the course prior to that date, your progress will not be impacted.",AWS
Troubleshooting: AWS Lambda,https://explore.skillbuilder.aws/learn/course/external/view/elearning/10771/troubleshooting-aws-lambda,30m 00s,5.0,Free,Intermediate,"In this course, you will learn to identify and resolve challenges that you may encounter when using Lambda functions. You can use this information to help troubleshoot issues and provide effective support case details if you need to escalate to Amazon Web Services (AWS) Support.",AWS
AWS Managed Services (AMS) Accelerate: Resource Tagger Deep Dive,https://explore.skillbuilder.aws/learn/course/external/view/elearning/10582/aws-managed-services-ams-accelerate-resource-tagger-deep-dive,45m 00s,5.0,Free,Intermediate,"You can use tags to differentiate resources to set up backup, monitoring, and reporting, as well as other accelerate actions.",AWS
AWS IoT Greengrass: Utilizing Data,https://explore.skillbuilder.aws/learn/course/external/view/elearning/10450/aws-iot-greengrass-utilizing-data,1h 15m,4.0,Free,Intermediate,"Are you familiar with how to use AWS IoT Greengrass to create, manage, and deploy software to edge devices, but need help deciding when to process data at the edge or in the cloud? Do you want to better understand common use cases and how AWS IoT Greengrass can benefit you and your business?",AWS
AWS Networking Practical Approaches,https://explore.skillbuilder.aws/learn/course/external/view/elearning/10448/aws-networking-practical-approaches,3h 00m,4.0,Free,Intermediate,"This course is for individuals who seek knowledge of networking on Amazon Web Services (AWS) beyond the foundational level. You will learn approaches to address common networking challenges that encompass networking configurations, routing, bandwidth, latency, and cost. You will explore and analyze scenarios to illustrate network patterns and decisions that impact network operational excellence.",AWS
Troubleshooting: Route 53 Domains,https://explore.skillbuilder.aws/learn/course/external/view/elearning/10422/troubleshooting-route-53-domains,30m 00s,5.0,Free,Intermediate,"In this course, you will learn how to identify and resolve challenges you may encounter when using Amazon Route 53 domains. You can use this information to help troubleshoot issues and provide effective support case details if you need to escalate to Amazon Web Services (AWS) Support.",AWS
Troubleshooting: Amazon Elastic Compute Cloud (Amazon EC2) for Linux,https://explore.skillbuilder.aws/learn/course/external/view/elearning/10318/troubleshooting-amazon-elastic-compute-cloud-amazon-ec2-for-linux,30m 00s,5.0,Free,Intermediate,"In this course, you will learn how to view important information about troubleshooting an Amazon Elastic Compute Cloud (Amazon EC2) Linux instance. You can use this information to help troubleshoot common issues and provide effective support case details if you need to escalate to Amazon Web Services (AWS) Support.",AWS
Troubleshooting: CloudFront,https://explore.skillbuilder.aws/learn/course/external/view/elearning/10072/troubleshooting-cloudfront,45m 00s,5.0,Free,Intermediate,"In this course, you will learn how to find important information about Amazon CloudFront distributions. You will also learn how to analyze response headers and monitor your distribution. We will share guidance on how to use this information to resolve several common issues encountered by CloudFront users. Finally, we will help guide you in providing strong support cases if you need to escalate an issue to Amazon Web Services (AWS) Support.",AWS
Digital: Developer Tooling for AWS Step Functions,https://explore.skillbuilder.aws/learn/course/external/view/elearning/10002/digital-developer-tooling-for-aws-step-functions,1h 30m,5.0,Free,Intermediate,"AWS Step Functions is a low-code visual workflow service used to orchestrate Amazon Web Services (AWS) services, automate business processes, and build serverless applications. In this course, you learn about the different development tools available for working with Step Functions workflows. You also learn how to implement state machines in several ways: You can use the AWS Step Functions console, AWS Toolkit for Visual Studio Code, the AWS Software Development Kits (SDKs), or a local version for testing and development.",AWS
Observability for AWS Step Functions,https://explore.skillbuilder.aws/learn/course/external/view/elearning/9343/observability-for-aws-step-functions,1h 30m,5.0,Free,Intermediate,"AWS Step Functions is a low-code, visual workflow service used to orchestrate AWS services, automate business processes, and build serverless applications. In this course, you learn how to implement logging, monitoring, and tracing in your Step Functions workflows using a variety of AWS services. You learn how to build workflows and how to integrate Step Functions with other Amazon Web Services (AWS) services. You also learn how to debug and troubleshoot Step Functions state machines when they fail.",AWS
How AWS Step Functions Work,https://explore.skillbuilder.aws/learn/course/external/view/elearning/9241/how-aws-step-functions-work,55m 00s,5.0,Free,Intermediate,"AWS Step Functions is a low-code visual workflow service used to orchestrate Amazon Web Service (AWS) services, automate business processes, and build serverless applications. In this course, you will learn how to build Step Functions using Standard and Express Workflows. You will learn how to implement three service integration patterns. You will also learn how to handle errors and retries, how to select the information to pass to the next task, and how to integrate Step Functions with other AWS services.",AWS
AWS CustomerCast - Monitor and Observe your Cloud and On-prem Infrastructure,https://explore.skillbuilder.aws/learn/course/external/view/elearning/9056/aws-customercast-monitor-and-observe-your-cloud-and-on-prem-infrastructure,58m 36s,5.0,Free,Intermediate,"In this course you will learn how to monitor and observe your cloud and on-premises infrastructure, how well-architected principals inform your decisions around what to instrument, and how this instrumentation helps you meet your business objectives.",AWS
AWS IoT Greengrass: Creating Deployments,https://explore.skillbuilder.aws/learn/course/external/view/elearning/8912/aws-iot-greengrass-creating-deployments,1h 10m,5.0,Free,Intermediate,AWS IoT Greengrass: Creating Deployments Curriculum,AWS
Migrating to AWS (OCS),https://explore.skillbuilder.aws/learn/course/external/view/elearning/8834/migrating-to-aws-ocs,30m 00s,5.0,Free,Intermediate,"This course is scheduled to be updated on Thursday, April 13, 2023 at which time your progress in the course will be disrupted. If you have completed the course prior to that date, your progress will not be impacted.",AWS
Troubleshooting: Amazon Elastic Compute Cloud (Amazon EC2) for Windows Instances,https://explore.skillbuilder.aws/learn/course/external/view/elearning/8829/troubleshooting-amazon-elastic-compute-cloud-amazon-ec2-for-windows-instances,30m 00s,5.0,Free,Intermediate,"In this course, you will learn how to view important information about troubleshooting an Amazon EC2 Windows instance. You can use this information to help troubleshoot common issues and provide effective support case details if you need to escalate to Amazon Web Services (AWS) Support.",AWS
Architecting on AWS - Online Course Supplement,https://explore.skillbuilder.aws/learn/course/external/view/elearning/8319/architecting-on-aws-online-course-supplement,2h 00m,5.0,Free,Intermediate,"This Online Course Supplement (OCS) is a companion resource to the Architecting on AWS classroom training. It provides additional information and practice opportunity to ensure that you know how to architect a resilient, secure, and highly available cloud infrastructure on AWS. The OCS provides videos and resources for each course topic, and contains review questions and answers to help you review information from the course.",AWS
AWS Network – Monitoring and Troubleshooting,https://explore.skillbuilder.aws/learn/course/external/view/elearning/8187/aws-network-monitoring-and-troubleshooting,1h 00m,4.0,Free,Intermediate,"This course is for individuals who seek knowledge of networking on Amazon Web Services (AWS) beyond the foundational level. You will learn how to monitor and troubleshoot network-related problems on AWS. The course also discusses logging, analyzing metrics, and how to use tools and services to visualize and audit your network.",AWS
