"Course Title","Course URL","Duration","Rating"
"Using a Token-based Approach to Build Highly Secure, Stateless, and Decoupled Applications","https://explore.skillbuilder.aws/learn/course/external/view/elearning/298/using-a-token-based-approach-to-build-highly-secure-stateless-and-decoupled-applications","1h 30m","5.0"
"Deep Dive: Lambda@Edge","https://explore.skillbuilder.aws/learn/course/external/view/elearning/274/deep-dive-lambdaedge","35m 00s","5.0"
"Hands-on Rekognition: Automated Image and Video Analysis","https://explore.skillbuilder.aws/learn/course/external/view/elearning/263/hands-on-rekognition-automated-image-and-video-analysis","30m 00s","5.0"
"Deep Dive into Amazon Elastic Block Store (EBS)","https://explore.skillbuilder.aws/learn/course/external/view/elearning/139/deep-dive-into-amazon-elastic-block-store-ebs","1h 30m","5.0"
"Deep Dive into Concepts and Tools for Analyzing Streaming Data on AWS","https://explore.skillbuilder.aws/learn/course/external/view/elearning/138/deep-dive-into-concepts-and-tools-for-analyzing-streaming-data-on-aws","35m 00s","5.0"
"Using AWS Snowcone","https://explore.skillbuilder.aws/learn/course/external/view/elearning/136/using-aws-snowcone","1h 15m","4.0"
"AWS Snowball Edge Logistics and Planning","https://explore.skillbuilder.aws/learn/course/external/view/elearning/115/aws-snowball-edge-logistics-and-planning","1h 45m","5.0"
"AWS Snowball Edge: Using Snowball Edge","https://explore.skillbuilder.aws/learn/course/external/view/elearning/114/aws-snowball-edge-using-snowball-edge","4h 00m","5.0"
"Advanced CloudFormation: Macros","https://explore.skillbuilder.aws/learn/course/external/view/elearning/113/advanced-cloudformation-macros","30m 00s","5.0"
"Deep Dive with Security: AWS Identity and Access Management (IAM)","https://explore.skillbuilder.aws/learn/course/external/view/elearning/104/deep-dive-with-security-aws-identity-and-access-management-iam","8h 00m","5.0"
"Deep Dive on AWS Fargate: Building Serverless Containers at Scale","https://explore.skillbuilder.aws/learn/course/external/view/elearning/103/deep-dive-on-aws-fargate-building-serverless-containers-at-scale","40m 00s","4.0"
"Best Practices for Data Warehousing with Amazon Redshift","https://explore.skillbuilder.aws/learn/course/external/view/elearning/100/best-practices-for-data-warehousing-with-amazon-redshift","1h 30m","5.0"
"Exam Readiness: AWS Certified Security - Specialty","https://explore.skillbuilder.aws/learn/course/external/view/elearning/97/exam-readiness-aws-certified-security-specialty","2h 00m","5.0"
"Exam Readiness: AWS Certified DevOps Engineer – Professional","https://explore.skillbuilder.aws/learn/course/external/view/elearning/74/exam-readiness-aws-certified-devops-engineer-professional","7h 00m","5.0"
"Deep Dive on Container Security","https://explore.skillbuilder.aws/learn/course/external/view/elearning/72/deep-dive-on-container-security","30m 00s","5.0"
"Developing Machine Learning Applications","https://explore.skillbuilder.aws/learn/course/external/view/elearning/58/developing-machine-learning-applications","4h 00m","5.0"
"Exam Readiness: AWS Certified Machine Learning - Specialty","https://explore.skillbuilder.aws/learn/course/external/view/elearning/27/exam-readiness-aws-certified-machine-learning-specialty","4h 00m","5.0"
"Serverless Analytics","https://explore.skillbuilder.aws/learn/course/external/view/elearning/26/serverless-analytics","25m 00s","5.0"
