"Course Title","Course URL","Cost","Duration","Rating"
"Troubleshooting: Route 53 Domains","https://explore.skillbuilder.aws/learn/course/external/view/elearning/10422/troubleshooting-route-53-domains","Free","30m 00s","5.0"
"Troubleshooting: Amazon Elastic Compute Cloud (Amazon EC2) for Linux","https://explore.skillbuilder.aws/learn/course/external/view/elearning/10318/troubleshooting-amazon-elastic-compute-cloud-amazon-ec2-for-linux","Free","30m 00s","5.0"
"Troubleshooting: CloudFront","https://explore.skillbuilder.aws/learn/course/external/view/elearning/10072/troubleshooting-cloudfront","Free","45m 00s","5.0"
"Digital: Developer Tooling for AWS Step Functions","https://explore.skillbuilder.aws/learn/course/external/view/elearning/10002/digital-developer-tooling-for-aws-step-functions","Free","1h 30m","5.0"
"Observability for AWS Step Functions","https://explore.skillbuilder.aws/learn/course/external/view/elearning/9343/observability-for-aws-step-functions","Free","1h 30m","5.0"
"How AWS Step Functions Work","https://explore.skillbuilder.aws/learn/course/external/view/elearning/9241/how-aws-step-functions-work","Free","55m 00s","5.0"
"AWS CustomerCast - Monitor and Observe your Cloud and On-prem Infrastructure","https://explore.skillbuilder.aws/learn/course/external/view/elearning/9056/aws-customercast-monitor-and-observe-your-cloud-and-on-prem-infrastructure","Free","58m 36s","5.0"
"AWS IoT Greengrass: Creating Deployments","https://explore.skillbuilder.aws/learn/course/external/view/elearning/8912/aws-iot-greengrass-creating-deployments","Free","1h 10m","5.0"
"Migrating to AWS (OCS)","https://explore.skillbuilder.aws/learn/course/external/view/elearning/8834/migrating-to-aws-ocs","Free","30m 00s","5.0"
"Troubleshooting: Amazon Elastic Compute Cloud (Amazon EC2) for Windows Instances","https://explore.skillbuilder.aws/learn/course/external/view/elearning/8829/troubleshooting-amazon-elastic-compute-cloud-amazon-ec2-for-windows-instances","Free","30m 00s","5.0"
"Architecting on AWS - Online Course Supplement","https://explore.skillbuilder.aws/learn/course/external/view/elearning/8319/architecting-on-aws-online-course-supplement","Free","2h 00m","5.0"
"AWS Network – Monitoring and Troubleshooting","https://explore.skillbuilder.aws/learn/course/external/view/elearning/8187/aws-network-monitoring-and-troubleshooting","Free","1h 00m","4.0"
"Amazon Aurora MySQL and Amazon RDS MySQL","https://explore.skillbuilder.aws/learn/course/external/view/elearning/8033/amazon-aurora-mysql-and-amazon-rds-mysql","Free","8h 00m","5.0"
"PostgreSQL Security","https://explore.skillbuilder.aws/learn/course/external/view/elearning/7898/postgresql-security","Free","30m 00s","5.0"
"Amazon Aurora PostgreSQL and Amazon RDS PostgreSQL","https://explore.skillbuilder.aws/learn/course/external/view/elearning/7872/amazon-aurora-postgresql-and-amazon-rds-postgresql","Free","7h 00m","5.0"
"Troubleshooting: Elastic Load Balancing","https://explore.skillbuilder.aws/learn/course/external/view/elearning/7837/troubleshooting-elastic-load-balancing","Free","1h 30m","5.0"
"AWS Managed Service (AMS) Advanced: Patch Orchestrator Deep Dive","https://explore.skillbuilder.aws/learn/course/external/view/elearning/6468/aws-managed-service-ams-advanced-patch-orchestrator-deep-dive","Free","1h 45m","5.0"
"Working with Indexes in DynamoDB","https://explore.skillbuilder.aws/learn/course/external/view/elearning/5344/working-with-indexes-in-dynamodb","Free","2h 30m","5.0"
"AWS Managed Services (AMS) Advanced: Disaster Recovery","https://explore.skillbuilder.aws/learn/course/external/view/elearning/3649/aws-managed-services-ams-advanced-disaster-recovery","Free","15m 00s","5.0"
"Developing with Amazon DynamoDB (Includes Labs)","https://explore.skillbuilder.aws/learn/course/external/view/elearning/2043/developing-with-amazon-dynamodb-includes-labs","Requires Subscription","26h 00m","5.0"
