Course Name,URL,Categories,Short Description,Long Description,Difficulty,Duration,Free Option,Number of Enrolled,Rating,Paid Option,Language,Subtitle Language,Platform,Provider,Image URL
Introduction to Redis Data Structures,https://university.redis.com/courses/ru101/,Computer Science,"RU101&nbsp; is an introductory course, perfect for developers new to Redis. The course covers all of Redis&rsquo;s most-used data structures, including strings, hashes, lists, sets, and sorted sets. It also covers specialized Redis data structures such a…","RU101&nbsp; is an introductory course, perfect for developers new to Redis. The course covers all of Redis&rsquo;s most-used data structures, including strings, hashes, lists, sets, and sorted sets. It also covers specialized Redis data structures such a…",Introductory,1,1,0,5.0,0,English,English,Independent Courses,Independent Courses,
Introduction to Machine Learning for Coders!,https://course.fast.ai/ml.html,Computer Science,"Learn the most important machine learning models, as well as key skills in data preparation, model validation, and building data products. There are around 24 hours of lessons, and you should plan to spend around 8 hours a week for 12 weeks to complete t…","Learn the most important machine learning models, as well as key skills in data preparation, model validation, and building data products. There are around 24 hours of lessons, and you should plan to spend around 8 hours a week for 12 weeks to complete t…",Introductory,1,1,0,4.39,0,English,English,Independent Courses,fast.ai,
"Querying, Indexing, and Full-Text Search",https://university.redis.com/courses/ru203/,Computer Science,"This course teaches you how to query structured and unstructured data in Redis. Using the RediSearch module, you&rsquo;ll learn: how to use boolean logic, full-text search, numeric ranges, geo radiuses, and more. How to create secondary indexes for your…","This course teaches you how to query structured and unstructured data in Redis. Using the RediSearch module, you&rsquo;ll learn: how to use boolean logic, full-text search, numeric ranges, geo radiuses, and more. How to create secondary indexes for your…",Introductory,2,0,0,4.0,0,English,English,Independent Courses,Independent Courses,
Molecular Dynamics for Computational Discoveries in Science,http://umb.sgleducation.com/AdaptiveMOOC/NishMD/,Computer Science,,,Introductory,1,1,0,1.0,0,English,English,Independent Courses,UMass Boston,
Introduction aux réseaux cellulaires,https://courses.mooc.telecom-bretagne.eu/course/introductions-aux-reseaux-cellulaires/,Computer Science,,,Introductory,1,1,0,4.39,0,English,English,Independent Courses,Independent Courses,
Just-in-Time Online Modules in Engineering Computing,https://openedx.seas.gwu.edu/courses/GW/JITcode/2014_fall/about,Computer Science,This is a set of computational modules aimed at supporting engineering students with their computational needs in the curriculum. Each module is self-contained and consists of a set of lessons motivated by applications in engineering courses. The computi…,This is a set of computational modules aimed at supporting engineering students with their computational needs in the curriculum. Each module is self-contained and consists of a set of lessons motivated by applications in engineering courses. The computi…,Introductory,2,0,0,4.39,0,English,English,Independent Courses,George Washington University,
Material Behaviour from Atoms to Bridges,https://www.class2go.uwa.edu.au/AtomBridges/Summer2013/preview/,Computer Science,The use of appropriate materials is fundamental to all engineering applications. The properties of materials are ultimately dependent on the microstructure. The behaviour of materials is dependent on how these characteristics react to or interact with fo…,The use of appropriate materials is fundamental to all engineering applications. The properties of materials are ultimately dependent on the microstructure. The behaviour of materials is dependent on how these characteristics react to or interact with fo…,Introductory,0,1,0,4.39,0,English,English,Independent Courses,University of Western Australia,
Autonomous Mobile Robots,http://mooc.uji.es/enrol/index.php?id=22,Computer Science,"This course is addressed to engineers and hobbyists who are interested in programming applications for a mobile robot to perform tasks in a complex environment. Throughout the course, practical exercises will be developed with realistic 3D simulations.","This course is addressed to engineers and hobbyists who are interested in programming applications for a mobile robot to perform tasks in a complex environment. Throughout the course, practical exercises will be developed with realistic 3D simulations.",Introductory,0,1,0,4.39,0,English,English,Independent Courses,Universitat Jaume  I,
Building a Basic Website,http://www.umass.edu/journalism/mooc/,Computer Science,,,Introductory,0,1,0,4.39,0,English,English,Independent Courses,UMass Amherst,
Health Data Analytics,https://www.css.edu/Graduate/Non-Degree/Massive-Open-Online-Courses/Health-Data-Analytics-MOOC.html,Computer Science,"The course will focus on database design, executing structured query language (SQL) scripts in MySQL workbench, and data analysis in healthcare. Statistical analysis and data mining techniques will also be discussed along with methods for deploying these…","The course will focus on database design, executing structured query language (SQL) scripts in MySQL workbench, and data analysis in healthcare. Statistical analysis and data mining techniques will also be discussed along with methods for deploying these…",Introductory,0,1,0,4.39,0,English,English,Independent Courses,The College of St. Scholastica,
Introduction to Enterprise Computing,https://mooc.marist.edu/web/ecc/introduction-to-enterprise-computing,Computer Science,"This course provides an overview of Enterprise Computing and in particular, the role of System z hardware and its primary operating system (z/OS) in an Enterprise Computing environment. The emphasis is on commercial computing. 
 
The introductory topic p…","This course provides an overview of Enterprise Computing and in particular, the role of System z hardware and its primary operating system (z/OS) in an Enterprise Computing environment. The emphasis is on commercial computing. 
 
The introductory topic p…",Introductory,0,1,0,4.39,0,English,English,Independent Courses,Marist College,
Data Plane Programming,https://hhk3.kau.se/dpp/,Computer Science,"Programmable Networks are of great importance. It is the starting point for making computer networks open for innovation, and enables the rapid introduction of new functionalities that make our networks more scalable, reliable and effective. Especially t…","Programmable Networks are of great importance. It is the starting point for making computer networks open for innovation, and enables the rapid introduction of new functionalities that make our networks more scalable, reliable and effective. Especially t…",Introductory,0,1,0,4.39,0,English,English,Independent Courses,Karlstad University,
How Cryptography Keeps The Internet Secure,https://ou.edia.nl/courses/course-v1:OUNL+CG2019+2019_01/about,Computer Science,"The course starts with a simple introduction on writing secrets, revisiting the cryptographic techniques already used by the Romans and the Spartans","The course starts with a simple introduction on writing secrets, revisiting the cryptographic techniques already used by the Romans and the Spartans",Introductory,0,1,0,4.39,0,English,English,Independent Courses,Open Universiteit Nederland,
CNIT 129S: Securing Web Applications,https://samsclass.info/129S/129S_S22.shtml,Computer Science,Industry advisors have repeatedly asked us to teach this class. Every modern business needs a web presence and there are far too few workers qualified to protect them from hackers. There are many jobs available for students who learn how to protect our h…,Industry advisors have repeatedly asked us to teach this class. Every modern business needs a web presence and there are far too few workers qualified to protect them from hackers. There are many jobs available for students who learn how to protect our h…,Introductory,1,1,0,4.39,0,English,English,Independent Courses,CNIT - City College of San Francisco,
CNIT 160: Cybersecurity Responsibilities,https://samsclass.info/160/160_S22.shtml,Computer Science,"Explores security technology, risks, countermeasures, and consequences, to help decision-makers protect those who rely on them. Includes hands-on activities such as packet analysis, exploiting vulnerable systems, and password cracking, and also research,…","Explores security technology, risks, countermeasures, and consequences, to help decision-makers protect those who rely on them. Includes hands-on activities such as packet analysis, exploiting vulnerable systems, and password cracking, and also research,…",Introductory,1,1,0,4.39,0,English,English,Independent Courses,CNIT - City College of San Francisco,
CNIT 125: Information Security Professional (CISSP Preparation),https://samsclass.info/125/125_S22.shtml,Computer Science,"Covers information security in depth, including access control, application security, business continuity, cryptography, risk management, legal issues, physical security, and telecommunications and network security. Class helps to prepare students for th…","Covers information security in depth, including access control, application security, business continuity, cryptography, risk management, legal issues, physical security, and telecommunications and network security. Class helps to prepare students for th…",Introductory,1,1,0,4.39,0,English,English,Independent Courses,CNIT - City College of San Francisco,
