Course Name,URL,Categories,Short Description,Long Description,Difficulty,Duration,Free Option,Number of Enrolled,Rating,Paid Option,Language,Subtitle Language,Platform,Provider,Image URL
Kubernetes Certification Training Course: Administrator (CKA),https://www.edureka.co/kubernetes-certification?qId=54920b0a1b509b32fb5cb4c8449818ba&index_name=prod_search_results_courses&objId=922&objPos=15,Computer Science,"Learn to set up Kubernetes Cluster, Networking, Cluster Security +5 more",,0,1,1,10617.0,5.0,0,English,English,Edureka,Edureka,https://d1jnx9ba8s6j9r.cloudfront.net/imgver.1679557636/img/Edureka_V_W_logo.webp
Python Masters Program,https://www.edureka.co/python-developer-training?qId=54920b0a1b509b32fb5cb4c8449818ba&index_name=prod_search_results_courses&objId=1062&objPos=16,Computer Science,"Includes 5 Live courses: Python, Machine Learning, NLP, Spark and more.","Edureka’s Python Developer Masters program will help you become an expert in Python and opens a career opportunity in various domains such as Machine Learning, Data Science, Big Data, Web Development.Python is a premier, flexible, and powerful open-source language
that is easy to learn, easy to use, and has powerful libraries for data
manipulation and analysis. For over a decade, Python has been used in
scientific computing and highly quantitative domains such as Finance, Oil and
Gas, Physics, and Signal Processing. Today, it is the most preferred language
for Artificial Intelligence (AI), Robotics, Web Development, and Big Data.",0,2,0,0,4.934782608695652,0,English,English,Edureka,Edureka,https://d1jnx9ba8s6j9r.cloudfront.net/imgver.1679557636/img/Edureka_V_W_logo.webp
Cyber Security Masters Program,https://www.edureka.co/cybersecurity-training?qId=54920b0a1b509b32fb5cb4c8449818ba&index_name=prod_search_results_courses&objId=1591&objPos=17,Computer Science,"Includes 5 courses: Linux, Cybersecurity, CompTIA Security+ and more.","Edureka’s Cyber Security Masters program is designed to meet the industry benchmarks and will help you master foundational skills that are needed to pursue a career in IT security. This masters in cyber security courses focuses on core cybersecurity skills which are indispensable for cybersecurity professionals. Throughout the program, you will learn important concepts such as risk management, risk mitigation, threat management, ethical hacking, cryptography, computer networks & security, application security, and various security practices for businesses along with hands-on demonstrations.",0,2,0,0,4.934782608695652,0,English,English,Edureka,Edureka,https://d1jnx9ba8s6j9r.cloudfront.net/imgver.1679557636/img/Edureka_V_W_logo.webp
Designing Microsoft Azure Architect Certification Course,https://www.edureka.co/microsoft-certified-azure-solution-architect-certification-training?qId=54920b0a1b509b32fb5cb4c8449818ba&index_name=prod_search_results_courses&objId=1751&objPos=18,Computer Science,"Architect Cloud Solutions using Azure resources: Compute, Network & more",,0,1,0,15660.0,5.0,0,English,English,Edureka,Edureka,https://d1jnx9ba8s6j9r.cloudfront.net/imgver.1679557636/img/Edureka_V_W_logo.webp
Certified Scrum Master® (CSM) Certification Training,https://www.edureka.co/certified-scrum-master-certification-training?qId=561af44fc0473cd3a94c1a8f546b976a&index_name=prod_search_results_courses&objId=883&objPos=1,Computer Science,"Includes Scrum Concepts: Agile, Sprint, Product and Release Planning & more",,0,1,0,0,4.934782608695652,0,English,English,Edureka,Edureka,https://d1jnx9ba8s6j9r.cloudfront.net/imgver.1679557636/img/Edureka_V_W_logo.webp
Big Data Architect Masters Program,https://www.edureka.co/big-data-architect-training?qId=561af44fc0473cd3a94c1a8f546b976a&index_name=prod_search_results_courses&objId=585&objPos=2,Computer Science,"Includes 5 Live courses: Hadoop, Spark, Cassandra, Talend, Kafka, and more.","Big Data Architect Masters Program makes you proficient in tools and systems used by Big Data experts. This Big Data Masters Course  includes training on Hadoop and Spark stack, Cassandra, Talend and Apache Kafka messaging system. The curriculum of our Big Data Online Courses has been determined by extensive research on 5000+ job descriptions across the globe. Edureka's comprehensive Big Data training course is designed by Industry top experts with real time project experience.",0,2,0,0,4.934782608695652,0,English,English,Edureka,Edureka,https://d1jnx9ba8s6j9r.cloudfront.net/imgver.1679557636/img/Edureka_V_W_logo.webp
Google Cloud Platform (GCP) Certification Training Course,https://www.edureka.co/google-cloud-architect-certification-training?qId=561af44fc0473cd3a94c1a8f546b976a&index_name=prod_search_results_courses&objId=1326&objPos=3,Computer Science,"Includes: GCP Compute, Storage, DevOps & Automation +8 more",,0,1,1,15016.0,5.0,0,English,English,Edureka,Edureka,https://d1jnx9ba8s6j9r.cloudfront.net/imgver.1679557636/img/Edureka_V_W_logo.webp
Microsoft SQL Server Certification Course,https://www.edureka.co/microsoft-sql-server-certification-training?qId=561af44fc0473cd3a94c1a8f546b976a&index_name=prod_search_results_courses&objId=2153&objPos=4,Computer Science,"Includes RDBMS, DDL, DML, Advanced SQL, User Administration & many more",,0,1,1,543.0,5.0,0,English,English,Edureka,Edureka,https://d1jnx9ba8s6j9r.cloudfront.net/imgver.1679557636/img/Edureka_V_W_logo.webp
Machine Learning Course Masters Program,https://www.edureka.co/machine-learning-engineer-training?qId=561af44fc0473cd3a94c1a8f546b976a&index_name=prod_search_results_courses&objId=781&objPos=5,Computer Science,"Includes 5 Live courses: Python, ML Algorithms, Tensorflow 2.0, and more.","Edureka’s Masters in Machine Learning Program makes you proficient in techniques like Supervised Learning, Unsupervised Learning and Natural Language Processing. Our Machine learning course includes training on the latest advancements and technical approaches in Artificial Intelligence &amp; Machine Learning such as Deep Learning, Graphical Models and Reinforcement Learning.",0,2,0,0,4.934782608695652,0,English,English,Edureka,Edureka,https://d1jnx9ba8s6j9r.cloudfront.net/imgver.1679557636/img/Edureka_V_W_logo.webp
Microsoft Azure DevOps Certification Training Course (AZ-400),https://www.edureka.co/microsoft-azure-devops-solutions-training?qId=561af44fc0473cd3a94c1a8f546b976a&index_name=prod_search_results_courses&objId=1308&objPos=6,Computer Science,"Includes Azure DevOps Services, CI/CD pipeline &7 more",,0,1,1,3371.0,5.0,0,English,English,Edureka,Edureka,https://d1jnx9ba8s6j9r.cloudfront.net/imgver.1679557636/img/Edureka_V_W_logo.webp
