Course Name,URL,Categories,Short Description,Long Description,Difficulty,Duration,Free Option,Number of Enrolled,Rating,Paid Option,Language,Subtitle Language,Platform,Provider,Image URL
Getting Started with AWS Security Hub,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14697/getting-started-with-aws-security-hub,"Computer Science , Cloud , AWS ,Cloud Computing","AWS Security Hub is a cloud security posture management service you can use to perform security best practice checks, aggregate alerts, and automate remediation. With this digital course, you can explore architecture, key features, pricing, and use cases.","AWS Security Hub is a cloud security posture management service you can use to perform security best practice checks, aggregate alerts, and automate remediation. With this digital course, you can explore architecture, key features, pricing, and use cases.",0,0,1,0,5.0,0,English,English,AWS,AWS Skill Builder,https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Fproviders%2Faws-skill-builder-hz.png?auto=format&ixlib=php-3.3.1&s=93a153eaf2cf7abbc130afaa0cc34197
Introduction to AWS Resilience Hub,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14679/introduction-to-aws-resilience-hub,"Computer Science , Cloud , AWS ,Cloud Computing","This course introduces AWS Resilience Hub, an application-focused service. It provides a hub—a central place—for users to define, validate, and track the resilience of their Amazon Web Service (AWS) applications.","This course introduces AWS Resilience Hub, an application-focused service. It provides a hub—a central place—for users to define, validate, and track the resilience of their Amazon Web Service (AWS) applications.",0,0,1,0,5.0,0,English,English,AWS,AWS Skill Builder,https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Fproviders%2Faws-skill-builder-hz.png?auto=format&ixlib=php-3.3.1&s=93a153eaf2cf7abbc130afaa0cc34197
Getting Started with Application Load Balancer,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14631/getting-started-with-application-load-balancer,"Computer Science , Cloud , AWS ,Cloud Computing","Amazon Application Load Balancer are deployed to provide scale, performance and resiliency for web application deployed on the cloud. Application Load Balancer distributes incoming application traffic at the layer 7 of OSI model, across multiple targets such as instances, containers and IP addresses, in one or more Availability Zones.","Amazon Application Load Balancer are deployed to provide scale, performance and resiliency for web application deployed on the cloud. Application Load Balancer distributes incoming application traffic at the layer 7 of OSI model, across multiple targets such as instances, containers and IP addresses, in one or more Availability Zones.",0,0,1,0,5.0,0,English,English,AWS,AWS Skill Builder,https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Fproviders%2Faws-skill-builder-hz.png?auto=format&ixlib=php-3.3.1&s=93a153eaf2cf7abbc130afaa0cc34197
Getting Started with Amazon ElastiCache,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14572/getting-started-with-amazon-elasticache,"Computer Science , Cloud , AWS ,Cloud Computing","This course is scheduled to be updated on Friday, December 30, 2022 at which time your progress in the course will be disrupted. If you have completed the course prior to that date, your progress will not be impacted.","This course is scheduled to be updated on Friday, December 30, 2022 at which time your progress in the course will be disrupted. If you have completed the course prior to that date, your progress will not be impacted.",0,0,1,0,5.0,0,English,English,AWS,AWS Skill Builder,https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Fproviders%2Faws-skill-builder-hz.png?auto=format&ixlib=php-3.3.1&s=93a153eaf2cf7abbc130afaa0cc34197
Basics of AWS Managed Services (AMS),https://explore.skillbuilder.aws/learn/course/external/view/elearning/14507/basics-of-aws-managed-services-ams,"Computer Science , Cloud , AWS ,Cloud Computing","Learn about AWS Managed Services (AMS) and how these services can support organizations that want to operate at scale in the cloud. This course reviews the basics of AMS, the business and technical challenges AMS can help solve, and which organizations may be a good fit for these services.","Learn about AWS Managed Services (AMS) and how these services can support organizations that want to operate at scale in the cloud. This course reviews the basics of AMS, the business and technical challenges AMS can help solve, and which organizations may be a good fit for these services.",0,0,1,0,5.0,0,English,English,AWS,AWS Skill Builder,https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Fproviders%2Faws-skill-builder-hz.png?auto=format&ixlib=php-3.3.1&s=93a153eaf2cf7abbc130afaa0cc34197
Getting Started with Amazon Timestream,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14501/getting-started-with-amazon-timestream,"Computer Science , Cloud , AWS ,Cloud Computing",,,0,0,1,0,5.0,0,English,English,AWS,AWS Skill Builder,https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Fproviders%2Faws-skill-builder-hz.png?auto=format&ixlib=php-3.3.1&s=93a153eaf2cf7abbc130afaa0cc34197
Getting Started with Gateway Load Balancer,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14408/getting-started-with-gateway-load-balancer,"Computer Science , Cloud , AWS ,Cloud Computing",,,0,0,1,0,4.0,0,English,English,AWS,AWS Skill Builder,https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Fproviders%2Faws-skill-builder-hz.png?auto=format&ixlib=php-3.3.1&s=93a153eaf2cf7abbc130afaa0cc34197
Getting Started with Amazon ECR,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14289/getting-started-with-amazon-ecr,"Computer Science , Cloud , AWS ,Cloud Computing","With Amazon Elastic Container Registry (Amazon ECR), you can store, share, and deploy your container software anywhere. Amazon ECR is a fully managed container registry offering high-performance hosting, so you can reliably deploy application images and artifacts anywhere.","With Amazon Elastic Container Registry (Amazon ECR), you can store, share, and deploy your container software anywhere. Amazon ECR is a fully managed container registry offering high-performance hosting, so you can reliably deploy application images and artifacts anywhere.",0,0,1,0,5.0,0,English,English,AWS,AWS Skill Builder,https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Fproviders%2Faws-skill-builder-hz.png?auto=format&ixlib=php-3.3.1&s=93a153eaf2cf7abbc130afaa0cc34197
Getting Started with Amazon EKS Anywhere,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14268/getting-started-with-amazon-eks-anywhere,"Computer Science , Cloud , AWS ,Cloud Computing",,,0,0,1,0,4.0,0,English,English,AWS,AWS Skill Builder,https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Fproviders%2Faws-skill-builder-hz.png?auto=format&ixlib=php-3.3.1&s=93a153eaf2cf7abbc130afaa0cc34197
Getting Started with Migration Hub Refactor Spaces,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14208/getting-started-with-migration-hub-refactor-spaces,"Computer Science , Cloud , AWS ,Cloud Computing",Are you ready to fast-track application refactoring? AWS Migration Hub Refactor Spaces is the new starting point for incremental app refactoring. Refactor Spaces can help reduce the business risk of evolving applications into microservices or extending existing applications with new features written in microservices.,Are you ready to fast-track application refactoring? AWS Migration Hub Refactor Spaces is the new starting point for incremental app refactoring. Refactor Spaces can help reduce the business risk of evolving applications into microservices or extending existing applications with new features written in microservices.,0,0,1,0,5.0,0,English,English,AWS,AWS Skill Builder,https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Fproviders%2Faws-skill-builder-hz.png?auto=format&ixlib=php-3.3.1&s=93a153eaf2cf7abbc130afaa0cc34197
