URL,Provider,Title,ReviewStars,Number_of_review,Duration_Week,Duration_per_week,Cost,Description,Course_Level,Enrollment_Number
https://www.futurelearn.com/courses/start-a-coder-dojo,Raspberry Pi Foundation,Start a CoderDojo Club,4.9,(12 reviews),3 weeks,2 hrs per week,Included in Unlimited,"You’ll find out how to teach young people how to build a website, create an app or a game, or explore technology in an informal, creative and social environment.",Open level,"7,567 enrolled on this course"
https://www.futurelearn.com/courses/cloud-cost-management,AWS Training and Certification,AWS: Essential Optimisation for Cloud Cost Management,,,3 weeks,4 hrs per week,Included in Unlimited,"By the end of this course, you’ll understand how AWS services help monitor, analyse, and respond to Cloud costs. This knowledge will help you to employ IT solutions that support your organisation’s financial goals and maximise the efficiency of your Cloud technology.",Intermediate level,3 weeks
https://www.futurelearn.com/courses/data-visualisation-core-elements-and-theories-sc,FutureLearn,Data Visualisation with Tableau Fundamentals,,,4 weeks,4 hrs per week,Included in Unlimited,"By the end of this course, you’ll feel confident identifying useful areas of Tableau, you’ll have a foundation in data visualisation theory, and you’ll be ready to move onto creating your dashboards and distributing them within your organisation.",Introductory level,4 weeks
https://www.futurelearn.com/courses/data-visualisation-communicate-key-metrics-throughout-your-business-sc,FutureLearn,Data Visualisation: Creating Charts and Complex Visualisations in Tableau,,,4 weeks,4 hrs per week,Included in Unlimited,"This course will prepare you to make decisions on how to release the information, timings, and how to communicate upon release for maximum impact.",Intermediate level,4 weeks
https://www.futurelearn.com/courses/data-visualisation-prediction-and-ethics-sc,FutureLearn,Data Visualisation: Data Dashboards and Storytelling with Tableau,,,4 weeks,4 hrs per week,Included in Unlimited,"Upon completion of this course, you will feel confident in not only creating effective data visualisations but also in responding to challenges and ensuring your organisation is complying with ethical and legal responsibilities around data handling.",Intermediate level,315 enrolled on this course
https://www.futurelearn.com/courses/software-development-python-java-prepare-for-a-software-development-career-sc,FutureLearn,Prepare for a Software Development Career,,,4 weeks,4 hrs per week,Included in Unlimited,"This course is an opportunity to review your Java and Python knowledge and add some final functions to your skillset. This includes defining object-oriented programming in relation to Java, as well as describing the use of methods, strings, inheritance, and more.",Introductory level,328 enrolled on this course
https://www.futurelearn.com/courses/programming-applications-with-python-graphics-user-interface-sc,FutureLearn,Programming Applications with Python: Graphics User Interface (GUI),,,4 weeks,4 hrs per week,Included in Unlimited,You’ll come away from this course with the skills needed to apply for in-demand programming roles in software development.,Intermediate level,309 enrolled on this course
https://www.futurelearn.com/courses/programming-applications-with-python-libraries-and-web-scraping-sc,FutureLearn,Programming Applications with Python: Libraries and Web Scraping,,,4 weeks,4 hrs per week,Included in Unlimited,You’ll finish this course with a string of in-demand skills you can take to the software development job market – or apply to your current role – with confidence.,Intermediate level,4 weeks
https://www.futurelearn.com/courses/programming-applications-with-python-working-with-files-sc,FutureLearn,Programming Applications with Python: Working with Files,,,4 weeks,4 hrs per week,Included in Unlimited,"Python is the most-popular programming language in the world, driving crucial web services such as Google, Dropbox, and Instagram, as well as many web applications and academic data analyses.",Intermediate level,4 weeks
https://www.futurelearn.com/courses/programming-essentials-with-python-cloud-technology-and-saas-sc,FutureLearn,Programming Essentials with Python: Cloud Technology and SaaS,,,4 weeks,4 hrs per week,Included in Unlimited,"As well as learning how to use its primary functions, you’ll also find out how to define and compare its four built-in data structures – list, tuple, dictionary and set.",Introductory level,4 weeks
https://www.futurelearn.com/courses/programming-essentials-with-python-matplotlib-and-seaborn-sc,FutureLearn,Programming Essentials with Python: Matplotlib and Seaborn,,,4 weeks,4 hrs per week,Included in Unlimited,"By the end of this course, you will be able to differentiate between various types of cloud architecture, speak fluently to tech teams about Python options and applications, and complete basic tasks using Python.",Introductory level,4 weeks
https://www.futurelearn.com/courses/software-development-python-java-introducing-java-sc,FutureLearn,Software Development: Introducing Java,,,4 weeks,4 hrs per week,Included in Unlimited,"By the end of this course, you’ll have gained an introduction to Java so that you can draw on more than one programming language for your work. You’ll have learned the basics of how it works, and the variables, data types and operators, arrays, and control statements used within it.",Introductory level,394 enrolled on this course
https://www.futurelearn.com/courses/software-development-python-java-understanding-python-sc,FutureLearn,Software Development: Understanding Python,,,4 weeks,4 hrs per week,Included in Unlimited,"You’ll also look at its dynamic semantic, and key aspects of the code syntax. By the end of this course, you should feel confident with a number of basic processes of Python and its real life applications.",Introductory level,512 enrolled on this course
https://www.futurelearn.com/courses/computer-vision-image-understanding-for-efficient-business-and-industry,Luleå University of Technology,Computer Vision: Image Understanding for Efficient Business and Industry,,,3 weeks,4 hrs per week,Included in Unlimited,"With their extensive knowledge, they are best positioned to help you realise the benefits of CV and the positive impacts it can have on your business.",Introductory level,339 enrolled on this course
https://www.futurelearn.com/courses/creating-apps-classroom,Queensland University of Technology,Creating Apps in the Classroom,4.7,(185 reviews),2 weeks,1 hr per week,Included in Unlimited,"By the end of the course, you’ll know how to use an app creation site to design and develop a sample app.",Introductory level,"30,911 enrolled on this course"
https://www.futurelearn.com/courses/aws-cloud-practitioner-essentials,AWS Training and Certification,AWS Cloud Practitioner Essentials: Jumpstart your journey within the AWS Cloud,,,7 weeks,4 hrs per week,Included in Unlimited,This course will act as a starting point for you to grow your AWS skills and knowledge and pursue official AWS training and certification to unlock new opportunities in your career.,Intermediate level,513 enrolled on this course
https://www.futurelearn.com/courses/being-a-digital-researcher-digital-skills-for-effective-research,University of Hull,Being a Digital Researcher: Digital Skills for Effective Research,,,3 weeks,4 hrs per week,Included in Unlimited,"With the combined knowledge of the university’s specialists at your fingertips, you’ll be equipped with the strategies and techniques you need to be a successful digital researcher.",Introductory level,639 enrolled on this course
https://www.futurelearn.com/courses/advanced-data-analysis-and-visualization-using-microsoft-power-bi,"CloudSwyft Global Systems, Inc.",Microsoft Power BI: Advanced Data Analysis and Visualisation,,,4 weeks,5 hrs per week,,"Learning from the experts at CloudSwyft and Power BI, you’ll finish the course with sought-after data science skills.",,This course is part of the Applied Data Analysis ExpertTrack
https://www.futurelearn.com/courses/applied-data-analysis-for-modern-organizations,"CloudSwyft Global Systems, Inc.",Successful Data Analysis for Modern Industries,,,2 weeks,5 hrs per week,,"CloudSwyft is a leading Learning-as-a-Service platform that empowers both learners and students. Their innovative technology allows them to deliver an engaging course on data types and analysis techniques, and show aspiring data analysts how far they can go.",,This course is part of the Applied Data Analysis ExpertTrack
https://www.futurelearn.com/courses/ai-for-legal-professionals-i-,National Yang Ming Chiao Tung University,AI for Legal Professionals (I): Law and Policy,4.7,(9 reviews),4 weeks,3 hrs per week,Included in Unlimited,"The course will be followed by a second course, AI for Legal Professionals (II): Tools for Lawyers.",Introductory level,"3,545 enrolled on this course"
https://www.futurelearn.com/courses/introduction-to-microsoft-power-platform-for-business,FutureLearn,Introduction to Microsoft Power Platform for Business,,,4 weeks,3 hrs per week,Included in Unlimited,"With expertise from the world’s leading technology company, you’ll be empowered with the capability to leverage the Power Platform and Power Apps to propel your business to success.",Introductory level,"1,303 enrolled on this course"
https://www.futurelearn.com/courses/introduction-to-effective-network-analysis,EC-Council,Introduction to Effective Network Analysis,,,3 weeks,2 hrs per week,Included in Unlimited,"By the end of this course, you’ll be fully equipped to not only set up a secure company network but to perform network analysis and detect cyber threats early. You’ll learn all you need to know to avoid becoming a digital criminology statistic.",Introductory level,404 enrolled on this course
https://www.futurelearn.com/courses/anti-racist-technologies,UAL Creative Computing Institute & Coding Black Females,Anti-Racist Approaches in Technology,,,3 weeks,4 hrs per week,Included in Unlimited,"You’ll develop anti-racist tools and techniques that can be applied in your own context, from recruitment and user research through to implementation, testing, and marketing. These techniques help you in any industry and role you work in, but especially within diversity and inclusion, and technology development.",Introductory level,3 weeks
https://www.futurelearn.com/courses/gender-inclusive-technology,UAL Creative Computing Institute & Feminist Internet,Gender-Inclusive Approaches in Technology,,,3 weeks,4 hrs per week,Included in Unlimited,"On this course you’ll learn a range of different techniques that will help you to create or advocate for gender-inclusive technologies, learning with each other and hearing the perspectives of some truly incredible people along the way.",Introductory level,3 weeks
https://www.futurelearn.com/courses/information-security-for-beginners,EC-Council,Information Security for Beginners,5.0,(8 reviews),3 weeks,2 hrs per week,Included in Unlimited,"Learning from the specialists at the EC-Council, you’ll be empowered to take data protection into your own hands.",Introductory level,"1,026 enrolled on this course"
https://www.futurelearn.com/courses/supporting-diverse-innovation,UAL Creative Computing Institute & UKBlackTech,Supporting Diverse Innovation,,,3 weeks,4 hrs per week,Included in Unlimited,"With guidance from Mark and other expert contributors, you’ll develop the tools and techniques you need to help you cultivate diversity in the workplace and advocate for diverse innovation.",Introductory level,3 weeks
https://www.futurelearn.com/courses/advanced-agile-with-scrum-and-kanban,"University of California, Irvine",Advanced Agile with Scrum and Kanban,,,7 weeks,3 hrs per week,,"Guided by industry experts in the technology sector, you’ll finish the course with both theoretical and practical knowledge to help you implement advanced Agile methodologies.",,This course is part of the Fundamentals of Agile Project Management ExpertTrack
https://www.futurelearn.com/courses/scaling-agile,"University of California, Irvine",Scaled Agile,,,7 weeks,3 hrs per week,,"Guided by a collection of industry experts, you’ll create scaling Agile journals with resources and plans for future use.",,This course is part of the Fundamentals of Agile Project Management ExpertTrack
https://www.futurelearn.com/courses/become-a-blockchain-developer-foundations,King's College London & Quant,A Beginner’s Guide to Becoming a Blockchain Developer with Overledger,4.7,(10 reviews),3 weeks,6 hrs per week,Included in Unlimited,"Coupled with the DLT know-how of Quant Network, these experts are the perfect guides to help you become a blockchain developer.",Introductory level,"2,558 enrolled on this course"
