course_name,course_url,course_provider,course_skill,course_rating,course_enroll,course_difficultty,course_time,course_type,course_frr
Introduction to Computer Vision and Image Processing,https://www.coursera.org/learn/introduction-computer-vision-watson-opencv,IBM Skills Network,"Skills you'll gain: Computer Vision, Machine Learning, Computer Graphics, Computer Graphic Techniques, Algorithms, Artificial Neural Networks, Deep Learning, Theoretical Computer Science, Applied Machine Learning, IBM Cloud, Machine Learning Software",4.4,"43,033",beginner,1-3 months,course,free
Building AI Powered Chatbots Without Programming,https://www.coursera.org/learn/building-ai-powered-chatbots,IBM Skills Network,"Skills you'll gain: Computer Science, Computational Thinking, Computer Programming, Theoretical Computer Science, Computational Logic, Design and Product, Human Computer Interaction, Interactive Design, Product Design, Cloud Computing, IBM Cloud, Machine Learning, Software Engineering, Software Engineering Tools, Web Development, Web Development Tools",4.8,"47,669",beginner,1-3 months,course,free
Introduction to NoSQL Databases,https://www.coursera.org/learn/introduction-to-nosql-databases,IBM Skills Network,"Skills you'll gain: Databases, NoSQL, Big Data, Data Architecture, Data Management, Database Theory, Data Structures, Database Administration, Database Application, Data Model, Database Design, Apache, Data Warehousing, Distributed Computing Architecture, SQL, Cloud Computing, Computational Thinking, Computer Architecture, Computer Networking, Computer Programming, IBM Cloud, Network Architecture, Statistical Programming, Theoretical Computer Science",4.6,"18,809",beginner,1-3 months,course,free
Managing Machine Learning Projects,https://www.coursera.org/learn/managing-machine-learning-projects,Duke University,"Skills you'll gain: Machine Learning, Applied Machine Learning, Leadership and Management, Data Management, Design and Product, Entrepreneurship, Feature Engineering, Operating Systems, Product Management, Project Management, Strategy and Operations, Systems Design, Theoretical Computer Science",4.7,"4,352",beginner,1-3 months,course,free
Introduction to User Experience Principles and Processes,https://www.coursera.org/learn/introtoux-principles-and-processes,University of Michigan,"Skills you'll gain: Design and Product, Product Design, Computer Science, Human Computer Interaction, User Experience, Data Science, Business Psychology, Research and Design, User Experience Design, User Research, Visual Design",4.8,"65,816",beginner,1-3 months,course,free
"ETL and Data Pipelines with Shell, Airflow and Kafka",https://www.coursera.org/learn/etl-and-data-pipelines-shell-airflow-kafka,IBM Skills Network,"Skills you'll gain: Extract, Transform, Load, Data Management, Data Warehousing, Data Architecture, Apache, Big Data, Computer Architecture, Computer Programming, Microarchitecture, Programming Principles, Software Architecture, Software Engineering, Theoretical Computer Science",4.5,"20,948",beginner,1-3 months,course,free
"Introduction to Software, Programming, and Databases",https://www.coursera.org/learn/introduction-software-programming-and-databases,IBM Skills Network,"Skills you'll gain: Computer Programming, Databases, System Software, Computer Networking, Data Structures, Network Security, Software As A Service, Software Engineering, Theoretical Computer Science",4.8,"7,305",beginner,1-3 months,course,free
Introduction to Blockchain Technologies,https://www.coursera.org/learn/introduction-blockchain-technologies,INSEAD,"Skills you'll gain: BlockChain, FinTech, Finance, Regulations and Compliance, Payments, Cryptography, Security Engineering, Theoretical Computer Science",4.7,"64,426",beginner,1-3 months,course,free
3D CAD Fundamental,https://www.coursera.org/learn/3d-cad-fundamental,National Taiwan University,"Skills you'll gain: Computer Graphic Techniques, Computer Graphics, Algorithms, Design and Product, Geometry, Graphics Software, Mathematics, Theoretical Computer Science",4.7,"51,111",beginner,1-3 months,course,free
Introduction to R Programming for Data Science,https://www.coursera.org/learn/introducton-r-programming-data-science,IBM Skills Network,"Skills you'll gain: R Programming, Computational Logic, Computer Programming, Data Management, Data Science, Extract, Transform, Load, Programming Principles, Statistical Programming, Theoretical Computer Science",4.5,"21,675",beginner,1-3 months,course,free
Digital Transformation with Google Cloud,https://www.coursera.org/learn/digital-transformation-google-cloud,Google Cloud,"Skills you'll gain: Cloud Computing, Cloud Infrastructure, Google Cloud Platform, Computational Logic, Computer Networking, Mathematical Theory & Analysis, Mathematics, Network Model, Project Management, Software As A Service, Strategy and Operations, Theoretical Computer Science, Business Analysis, Business Transformation, Entrepreneurship, Innovation, Research and Design",4.8,"40,112",beginner,1-3 months,course,free
"Python Functions, Files, and Dictionaries",https://www.coursera.org/learn/python-functions-files-dictionaries,University of Michigan,"Skills you'll gain: Computer Programming, Python Programming, Algorithms, Algebra, Mathematics, Statistical Programming, Theoretical Computer Science",4.8,"1,00,336",beginner,1-3 months,course,free
Innovating with Data and Google Cloud,https://www.coursera.org/learn/innovating-with-data-google-cloud,Google Cloud,"Skills you'll gain: Cloud Computing, Data Management, Applied Machine Learning, Cloud Storage, Data Structures, Data Warehousing, Databases, Machine Learning, Theoretical Computer Science",4.8,"21,095",beginner,1-3 months,course,free
