course_name,course_url,course_provider,course_skill,course_rating,course_enroll,course_difficultty,course_time,course_type,course_frr
Data Science as a Field,https://www.coursera.org/learn/data-science-as-a-field,University of Colorado Boulder,"Skills you'll gain: Data Management, Databases, PostgreSQL, SQL, Statistical Programming, Applied Mathematics, Computer Science, Data Science, Software Engineering",4.4,"3,293",intermediate,1-4 weeks,course,free
Algorithmic Thinking (Part 1),https://www.coursera.org/learn/algorithmic-thinking-1,Rice University,"Skills you'll gain: Algorithms, Computer Science, Theoretical Computer Science, Computer Programming, Data Structures, Python Programming, Computational Thinking, Graph Theory, Mathematics, Probability & Statistics",4.6,"51,650",intermediate,1-4 weeks,course,free
Data Mining Methods,https://www.coursera.org/learn/data-mining-methods,University of Colorado Boulder,"Skills you'll gain: Theoretical Computer Science, Algorithms",3,"2,408",intermediate,1-4 weeks,course,free
Digital Signal Processing 2: Filtering,https://www.coursera.org/learn/dsp2,…cole Polytechnique FÈdÈrale de Lausanne,"Skills you'll gain: Algorithms, Mathematics, Theoretical Computer Science, General Statistics, Probability & Statistics, Applied Mathematics, Mathematical Theory & Analysis",4.7,"13,015",intermediate,1-4 weeks,course,free
JSON and Natural Language Processing in PostgreSQL,https://www.coursera.org/learn/json-natural-language-processing-postgresql,University of Michigan,"Skills you'll gain: Computer Programming, Machine Learning, Statistical Programming, Data Management, Databases, PostgreSQL, SQL, Theoretical Computer Science, Javascript, Natural Language Processing, Python Programming, Software Architecture, Software Engineering, Web Development",4.6,"5,362",intermediate,1-4 weeks,course,free
Simulation Analysis for Mechanical Engineers with Autodesk Fusion 360,https://www.coursera.org/learn/simulation-analysis-mechanical-engineers,Autodesk,"Skills you'll gain: Algorithms, Data Analysis, Design and Product, Microsoft Excel, Theoretical Computer Science",4.8,"19,234",intermediate,1-4 weeks,course,free
Geometric Algorithms,https://www.coursera.org/learn/geometric-algorithms,EIT Digital,"Skills you'll gain: Algorithms, Theoretical Computer Science, Data Management, Data Structures, Geometry, Mathematics",4.4,"6,880",intermediate,1-4 weeks,course,free
Linux and Bash for Data Engineering,https://www.coursera.org/learn/linux-and-bash-for-data-engineering-duke,Duke University,"Skills you'll gain: Computer Programming, Human Computer Interaction, Software Architecture, Software Engineering, Theoretical Computer Science, User Experience, Computer Programming Tools, Linux, Operating Systems, Data Analysis, Data Engineering, Data Management, DevOps, Extract, Transform, Load, Data Mining",4.6,"3,929",intermediate,1-4 weeks,course,free
"Shortest Paths Revisited, NP-Complete Problems and What To Do About Them",https://www.coursera.org/learn/algorithms-npcomplete,Stanford University,"Skills you'll gain: Algorithms, Computer Science, Theoretical Computer Science, Probability & Statistics, Probability Distribution, Graph Theory, Mathematics, Operations Research, Research and Design, Strategy and Operations",4.8,"40,032",intermediate,1-4 weeks,course,free
IoT Devices,https://www.coursera.org/learn/iot-devices-il,University of Illinois at Urbana-Champaign,"Skills you'll gain: Computer Architecture, Computer Networking, Internet Of Things, Software Engineering, Network Architecture, Computer Graphics, Human Computer Interaction, Interactive Design, Computer Programming, Microarchitecture, Network Model, Network Security, Python Programming, Security Engineering, Statistical Programming, Theoretical Computer Science",4.7,"8,861",intermediate,1-4 weeks,course,free
Applied Text Mining in Python,https://www.coursera.org/learn/python-text-mining,University of Michigan,"Skills you'll gain: Data Science, Machine Learning, Python Programming, Natural Language Processing, Statistical Programming, Computer Programming, Computer Science, Machine Learning Algorithms, Algorithms, Computational Logic, Data Analysis, Data Mining, General Statistics, Machine Learning Software, Mathematical Theory & Analysis, Mathematics, Probability & Statistics, Programming Principles, Statistical Machine Learning, Theoretical Computer Science",4.2,"1,31,349",intermediate,1-4 weeks,course,free
Parallel programming,https://www.coursera.org/learn/scala-parallel-programming,…cole Polytechnique FÈdÈrale de Lausanne,"Skills you'll gain: Computer Programming, Computer Science, Other Programming Languages, Algorithms, Theoretical Computer Science, Data Science, Machine Learning, Machine Learning Algorithms, Scala Programming, Computational Thinking, Data Management",4.4,"57,715",intermediate,1-4 weeks,course,free
Blockchain Platforms,https://www.coursera.org/learn/blockchain-platforms,University at Buffalo,"Skills you'll gain: Cryptography, Security Engineering, BlockChain, FinTech, Finance, Theoretical Computer Science, Cloud Computing, Microsoft Azure",4.6,"32,274",intermediate,1-4 weeks,course,free
"Intro to Analytic Thinking, Data Science, and Data Mining",https://www.coursera.org/learn/intro-analyticthinking-datascience-datamining,"University of California, Irvine","Skills you'll gain: Business Analysis, Data Analysis, Data Management, Probability & Statistics, Big Data, Data Mining, Data Structures, Statistical Analysis, Theoretical Computer Science, Advertising, Communication",4.1,"5,554",intermediate,1-4 weeks,course,free
Developing the SIR Model,https://www.coursera.org/learn/developing-the-sir-model,Imperial College London,"Skills you'll gain: Algorithms, Applied Mathematics, Calculus, Computer Programming, Differential Equations, Epidemiology, Mathematics, Probability & Statistics, R Programming, Statistical Programming, Theoretical Computer Science",4.8,"9,078",intermediate,1-4 weeks,course,free
Concurrency in Go,https://www.coursera.org/learn/golang-concurrency,"University of California, Irvine","Skills you'll gain: Other Programming Languages, Computational Thinking, Computer Programming, Theoretical Computer Science, Operating Systems, Software Architecture, Software Engineering, Software Testing, Systems Design",4.7,"20,246",intermediate,1-4 weeks,course,free
"Modern Robotics, Course 4:  Robot Motion Planning and Control",https://www.coursera.org/learn/modernrobotics-course4,Northwestern University,"Skills you'll gain: Mathematics, Theoretical Computer Science, Calculus, Entrepreneurship, Leadership and Management, Linear Algebra, Planning, Supply Chain and Logistics, Algorithms, Differential Equations, Graph Theory, Matlab",4.9,"10,374",intermediate,1-4 weeks,course,free
Cloud Data Engineering,https://www.coursera.org/learn/cloud-data-engineering-duke,Duke University,"Skills you'll gain: Cloud Computing, Data Management, Amazon Web Services, Cloud Platforms, Big Data, Data Engineering, Data Warehousing, Database Administration, Databases, Extract, Transform, Load, Software Architecture, Software Engineering, Theoretical Computer Science",4.1,"5,946",intermediate,1-4 weeks,course,free
Digital Fashion Industry,https://www.coursera.org/learn/digital-fashion-industry,"Parsons School of Design, The New School","Skills you'll gain: Business Analysis, Business Transformation, BlockChain, Business Design, Design and Product, Finance, Product Design, Research and Design, Supply Chain Systems, Supply Chain and Logistics, Advertising, Applied Machine Learning, Brand Management, Communication, Computational Thinking, Computer Graphic Techniques, Computer Graphics, Computer Programming, Digital Marketing, Graphic Design, Machine Learning, Marketing, Theoretical Computer Science",4.8,"2,167",intermediate,1-4 weeks,course,free
Advanced Programming in Swift,https://www.coursera.org/learn/advanced-programming-in-swift,Meta,"Skills you'll gain: Mobile Development, Swift Programming, iOS Development, Computer Programming, Data Management, Data Structures, Software Engineering, Theoretical Computer Science, Programming Principles, Algorithms, Communication, Computer Programming Tools, Software Testing, Application Development, Journalism",4.8,"2,043",intermediate,1-4 weeks,course,free
Algorithmic Thinking (Part 2),https://www.coursera.org/learn/algorithmic-thinking-2,Rice University,"Skills you'll gain: Algorithms, Theoretical Computer Science, Mathematical Theory & Analysis",4.7,"23,260",intermediate,1-4 weeks,course,free
Applied Social Network Analysis in Python,https://www.coursera.org/learn/python-social-network-analysis,University of Michigan,"Skills you'll gain: Computer Science, Graph Theory, Mathematics, Data Science, Python Programming, Statistical Programming, Correlation And Dependence, Machine Learning, Machine Learning Algorithms, Probability & Statistics, Computer Programming, Data Visualization, Network Analysis",4.6,"93,402",intermediate,1-4 weeks,course,free
Real-Time Mission-Critical Systems Design,https://www.coursera.org/learn/real-time-mission-critical-systems-design,University of Colorado Boulder,"Skills you'll gain: Algorithms, Theoretical Computer Science, Operating Systems, Design and Product, Entrepreneurship, Leadership and Management, Mathematics, Problem Solving, Research and Design, User Experience",4.6,"2,904",intermediate,1-4 weeks,course,free
Service-Oriented Architecture,https://www.coursera.org/learn/service-oriented-architecture,University of Alberta,"Skills you'll gain: Software Architecture, Software Engineering, Computer Networking, Computational Thinking, Computer Architecture, Computer Programming, Distributed Computing Architecture, Full-Stack Web Development, Operating Systems, Programming Principles, Software Framework, System Programming, Theoretical Computer Science, Web Development",4.5,"44,036",intermediate,1-4 weeks,course,free
Integral Calculus and Numerical Analysis for Data Science,https://www.coursera.org/learn/integral-calculus-and-numerical-analysis-for-data-science,University of Colorado Boulder,"Skills you'll gain: Mathematics, Calculus, Differential Equations, Mathematical Theory & Analysis, Algebra, Algorithms, Linear Algebra, Theoretical Computer Science",4.6,"1,867",intermediate,1-4 weeks,course,free
Enhance your Writing with Adjective Clauses,https://www.coursera.org/learn/english-writing-grammar-adjective-clauses,"University of California, Irvine","Skills you'll gain: Communication, Writing, Computational Logic, Mathematical Theory & Analysis, Mathematics, Theoretical Computer Science",4.6,"1,730",intermediate,1-4 weeks,course,free
Robotics: Perception,https://www.coursera.org/learn/robotics-perception,University of Pennsylvania,"Skills you'll gain: Mathematics, Geometry, Computer Vision, Machine Learning, Linear Algebra, Algorithms, Theoretical Computer Science",4.3,"36,863",intermediate,1-4 weeks,course,free
Algorithms on Strings,https://www.coursera.org/learn/algorithms-on-strings,University of California San Diego,"Skills you'll gain: Algorithms, Theoretical Computer Science",4.5,"78,556",intermediate,1-4 weeks,course,free
Machine Learning Algorithms with R in Business Analytics,https://www.coursera.org/learn/machine-learning-algorithms-r-business-analytics,University of Illinois at Urbana-Champaign,"Skills you'll gain: Machine Learning, Algorithms, Machine Learning Algorithms, Theoretical Computer Science, Probability & Statistics, Regression, R Programming",4.6,"3,737",intermediate,1-4 weeks,course,free
Embedded Hardware and Operating Systems,https://www.coursera.org/learn/embedded-operating-system,EIT Digital,"Skills you'll gain: Computer Science, Computer Architecture, Operating Systems, System Software, Hardware Design, Internet Of Things, Microarchitecture, Computer Graphics, Computer Networking, Human Computer Interaction, Interactive Design, Network Architecture, Software Engineering",4.2,"52,033",intermediate,1-4 weeks,course,free
Design and Analyze Secure Networked Systems,https://www.coursera.org/learn/design-secure-networked-systems,University of Colorado System,"Skills you'll gain: Information Technology, Security Engineering, Cryptography, Cyberattacks, Human Factors (Security), Network Security, Security Strategy, Computer Networking, Operating Systems, System Security, Theoretical Computer Science",3.8,"36,631",intermediate,1-4 weeks,course,free
Object-Oriented Python: Inheritance and Encapsulation,https://www.coursera.org/learn/object-oriented-python,Codio,"Skills you'll gain: Computer Programming, Computer Science, Programming Principles, Python Programming, Statistical Programming",4.4,"4,711",intermediate,1-4 weeks,course,free
"Cluster Analysis, Association Mining, and Model Evaluation",https://www.coursera.org/learn/cluster-analysis-association-mining-and-model-evaluation,"University of California, Irvine","Skills you'll gain: General Statistics, Human Resources, Probability & Statistics, Theoretical Computer Science, Correlation And Dependence, Leadership and Management, Strategy and Operations",4.6,"2,007",intermediate,1-4 weeks,course,free
"C++ Object Basics: Functions, Recursion, and Objects",https://www.coursera.org/learn/cpp-object-basics,Codio,"Skills you'll gain: Algebra, Algorithms, C++ Programming, Computational Thinking, Computer Programming, Computer Science, Mathematics, Programming Principles, Theoretical Computer Science",4.8,"5,273",intermediate,1-4 weeks,course,free
Digital Signal Processing 4: Applications,https://www.coursera.org/learn/dsp4,…cole Polytechnique FÈdÈrale de Lausanne,"Skills you'll gain: Algorithms, Theoretical Computer Science, Computer Graphic Techniques, Computer Graphics",4.7,"8,641",intermediate,1-4 weeks,course,free
"Java Object Basics: Functions, Recursion, and Objects",https://www.coursera.org/learn/java-object-basics,Codio,"Skills you'll gain: Computer Science, Java Programming",4.1,,intermediate,1-4 weeks,course,free
iOS App Capstone,https://www.coursera.org/learn/ios-app-capstone,Meta,"Skills you'll gain: Human Computer Interaction, Mobile Development, Software Architecture, Software Engineering, Swift Programming, Theoretical Computer Science, User Experience, Data Management",,,intermediate,1-4 weeks,course,free
Working with Data in iOS,https://www.coursera.org/learn/working-with-data-in-ios,Meta,"Skills you'll gain: Mobile Development, Swift Programming, Computer Programming, Computer Networking, Javascript, Network Model, Software Architecture, Software Engineering, Theoretical Computer Science, Web Development, iOS Development, Django (Web Framework)",4.4,,intermediate,1-4 weeks,course,free
Web Applications and Command-Line Tools for Data Engineering,https://www.coursera.org/learn/web-app-command-line-tools-for-data-engineering-duke,Duke University,"Skills you'll gain: Cloud Computing, Amazon Web Services, Cloud Platforms, Machine Learning, Operating Systems, Systems Design, Theoretical Computer Science, Applied Machine Learning, Cloud Applications, Cloud Engineering, Computer Programming, Machine Learning Algorithms, Python Programming, Statistical Programming",4.2,"1,543",intermediate,1-4 weeks,course,free
Identifying Security Vulnerabilities,https://www.coursera.org/learn/identifying-security-vulnerabilities,"University of California, Davis","Skills you'll gain: Security Engineering, Computer Networking, Cryptography, Network Security, Databases, SQL, Software Security, Algebra, Computer Programming, Java Programming, Journalism, Mobile Development, Operating Systems, System Security, Theoretical Computer Science",4.7,"11,245",intermediate,1-4 weeks,course,free
3D Models for Virtual Reality,https://www.coursera.org/learn/3d-models-virtual-reality,University of London,"Skills you'll gain: Computer Graphics, Computer Science, Virtual Reality, Graphic Design, Computer Graphic Techniques, Human Computer Interaction",4.6,"40,297",intermediate,1-4 weeks,course,free
Introduction to Java Enterprise Edition (EE),https://www.coursera.org/learn/introduction-ee,LearnQuest,"Skills you'll gain: Computer Programming, Java Programming, Mobile Development, Other Web Frameworks, Software Architecture, Software Engineering, Theoretical Computer Science, Web Development, Back-End Web Development, Communication, Journalism",4.6,"2,520",intermediate,1-4 weeks,course,free
"Modern Robotics, Course 6:  Capstone Project, Mobile Manipulation",https://www.coursera.org/learn/modernrobotics-course6,Northwestern University,"Skills you'll gain: Business Analysis, Computer Programming, Critical Thinking, Data Analysis, Data Analysis Software, Entrepreneurship, Leadership and Management, Linear Algebra, Mathematics, Matlab, Operating Systems, Planning, Project Management, Research and Design, Strategy and Operations, Supply Chain and Logistics, Systems Design, Theoretical Computer Science",4.9,"6,450",intermediate,1-4 weeks,course,free
Advanced Trading Algorithms,https://www.coursera.org/learn/advanced-trading-algorithms,Indian School of Business,"Skills you'll gain: Accounting, Business Analysis, Data Analysis, Financial Analysis, Finance, Investment Management, Basic Descriptive Statistics, Probability & Statistics, Financial Accounting, Algorithms, Entrepreneurship, Securities Trading, Theoretical Computer Science",4.6,"28,979",intermediate,1-4 weeks,course,free
Spring - Cloud Overview,https://www.coursera.org/learn/spring-cloud-overview,LearnQuest,"Skills you'll gain: Computer Programming, Other Web Frameworks, Programming Principles, Software Architecture, Software Engineering, Theoretical Computer Science, Web Development, Cloud Computing, Cloud Load Balancing, Operating Systems, Software Framework, System Programming",4.4,"2,679",intermediate,1-4 weeks,course,free
Hacking and Patching,https://www.coursera.org/learn/hacking-patching,University of Colorado System,"Skills you'll gain: Cyberattacks, Information Technology, Security Engineering, Computer Architecture, Computer Networking, Data Management, Databases, Microarchitecture, Network Security, Operating Systems, SQL, Software Engineering, Software Security, Software Testing, Statistical Programming, System Security, Theoretical Computer Science",3.9,"53,494",intermediate,1-4 weeks,course,free
Object-Oriented C++: Inheritance and Encapsulation,https://www.coursera.org/learn/object-oriented-cpp,Codio,"Skills you'll gain: C++ Programming, Computer Architecture, Computer Programming, Computer Science, Human Computer Interaction, Java Programming, Mobile Development, Network Architecture, Other Programming Languages, Programming Principles, User Experience",4.8,"5,448",intermediate,1-4 weeks,course,free
Social Media Data Analytics,https://www.coursera.org/learn/social-media-data-analytics,University of Washington,"Skills you'll gain: General Statistics, Python Programming, Probability & Statistics, Statistical Programming, Data Analysis, Regression, Statistical Analysis, Computer Programming, Correlation And Dependence, Data Management, Data Structures, Probability Distribution, Basic Descriptive Statistics, Communication, Marketing, Mathematics, Social Media",4.1,"39,603",intermediate,1-4 weeks,course,free
Java Servlet Pages (JSPs),https://www.coursera.org/learn/java-servlet-pages,LearnQuest,"Skills you'll gain: Other Web Frameworks, Software Architecture, Software Engineering, Theoretical Computer Science, Web Development, Computer Programming, Operating Systems, Software Framework, System Programming, Communication, Journalism",4.6,"3,746",intermediate,1-4 weeks,course,free
Financial Risk Management with R,https://www.coursera.org/learn/financial-risk-management-with-r,Duke University,"Skills you'll gain: Finance, Probability & Statistics, R Programming, Statistical Programming, Data Analysis, Risk Management, Accounting, Business Analysis, Financial Analysis, Econometrics, Statistical Analysis, Bayesian Statistics, Data Management, Data Structures, Theoretical Computer Science",4.4,"13,773",intermediate,1-4 weeks,course,free
Unsupervised Algorithms in Machine Learning,https://www.coursera.org/learn/unsupervised-algorithms-in-machine-learning,University of Colorado Boulder,"Skills you'll gain: Algorithms, Machine Learning, Machine Learning Algorithms, Theoretical Computer Science, Dimensionality Reduction",4.1,"1,655",intermediate,1-4 weeks,course,free
The Java Language,https://www.coursera.org/learn/java-as-a-second-language-the-java-language,LearnQuest,"Skills you'll gain: Computer Programming, Java Programming, Mobile Development, Programming Principles, Web Development, Data Management, Data Structures, Full-Stack Web Development, Theoretical Computer Science",4.3,"1,753",intermediate,1-4 weeks,course,free
Cryptography and Information Theory,https://www.coursera.org/learn/crypto-info-theory,University of Colorado System,"Skills you'll gain: Cryptography, Security Engineering, Theoretical Computer Science, Computational Logic, Mathematical Theory & Analysis, Mathematics, Probability & Statistics, Probability Distribution",4.5,"17,756",intermediate,1-4 weeks,course,free
Basic Cryptography and Programming with Crypto API,https://www.coursera.org/learn/basic-cryptography-and-crypto-api,University of Colorado System,"Skills you'll gain: Cryptography, Security Engineering, Theoretical Computer Science, Accounting, Algorithms, Computer Programming, Computer Programming Tools",4.5,"12,286",intermediate,1-4 weeks,course,free
Parallel programming (Scala 2 version),https://www.coursera.org/learn/scala2-parallel-programming,…cole Polytechnique FÈdÈrale de Lausanne,"Skills you'll gain: Computer Programming, Theoretical Computer Science, Algorithms",,,intermediate,1-4 weeks,course,free
System Validation: Automata and behavioural equivalences,https://www.coursera.org/learn/automata-system-validation,EIT Digital,"Skills you'll gain: Theoretical Computer Science, Computational Logic, Mathematical Theory & Analysis, Mathematics, Operating Systems, Systems Design, Marketing, Strategy and Operations",4.4,"9,976",intermediate,1-4 weeks,course,free
"Python Object Basics: Functions, Recursion, and Objects",https://www.coursera.org/learn/python-object-basics,Codio,"Skills you'll gain: Computer Programming, Algebra, Computer Science, Mathematics, Programming Principles, Python Programming, Statistical Programming",4.4,"2,406",intermediate,1-4 weeks,course,free
Cryptographic Hash and Integrity Protection,https://www.coursera.org/learn/cryptographic-hash-integrity-protection,University of Colorado System,"Skills you'll gain: Cryptography, Security Engineering, Theoretical Computer Science, Algorithms, FinTech",4.5,"6,773",intermediate,1-4 weeks,course,free
Asymmetric Cryptography and Key Management,https://www.coursera.org/learn/asymmetric-crypto,University of Colorado System,"Skills you'll gain: Cryptography, Security Engineering, Theoretical Computer Science, Algorithms, Applied Mathematics, Mathematics, Computational Logic",4.7,"10,357",intermediate,1-4 weeks,course,free
Digital Signal Processing 3: Analog vs Digital,https://www.coursera.org/learn/dsp3,…cole Polytechnique FÈdÈrale de Lausanne,"Skills you'll gain: Algorithms, Theoretical Computer Science, Computational Logic, Mathematical Theory & Analysis, Mathematics",4.8,"9,604",intermediate,1-4 weeks,course,free
M2M & IoT Interface Design & Protocols for Embedded Systems,https://www.coursera.org/learn/m2m-iot-interface-design-embedded-systems,University of Colorado Boulder,"Skills you'll gain: Cloud Computing, Computer Architecture, Computer Networking, Amazon Web Services, Cloud Platforms, Internet Of Things, Network Architecture, Operating Systems, Software Engineering, Systems Design, Theoretical Computer Science",4.6,"5,553",intermediate,1-4 weeks,course,free
Predictive Analytics and Data Mining,https://www.coursera.org/learn/predictive-analytics-data-mining,University of Illinois at Urbana-Champaign,"Skills you'll gain: Algorithms, Bayesian Statistics, Data Analysis, Entrepreneurship, Market Research, Probability & Statistics, Research and Design, Theoretical Computer Science, Accounting, Advertising, Algebra, Communication, Econometrics, Marketing, Mathematics",4.4,"10,850",intermediate,1-4 weeks,course,free
Information Extraction from Free Text Data in Health,https://www.coursera.org/learn/information-extraction-from-free-text-data-in-health-2,University of Michigan,"Skills you'll gain: Computational Logic, Computer Programming, Mathematical Theory & Analysis, Mathematics, Programming Principles, Theoretical Computer Science, Computer Programming Tools, Python Programming",,,intermediate,1-4 weeks,course,free
Using Data for Geographic Mapping and Forecasting in SAS Visual Analytics,https://www.coursera.org/learn/using-data-geographic-mapping-sas-va,SAS,"Skills you'll gain: Data Analysis, Data Visualization, Statistical Programming, Forecasting, Geovisualization, Probability & Statistics, Theoretical Computer Science, Communication, Computer Graphics, Interactive Design",4.7,"8,421",intermediate,1-4 weeks,course,free
Project Planning and Machine Learning,https://www.coursera.org/learn/industrial-iot-project-planning-machine-learning,University of Colorado Boulder,"Skills you'll gain: Data Management, Machine Learning, Strategy and Operations, Algorithms, Big Data, Data Analysis, Design and Product, Machine Learning Algorithms, Mathematical Theory & Analysis, Mathematics, Project Management, Theoretical Computer Science, Accounting, Internet Of Things",4.6,"6,679",intermediate,1-4 weeks,course,free
Building on the SIR Model,https://www.coursera.org/learn/building-on-the-sir-model,Imperial College London,"Skills you'll gain: Advertising, Business Analysis, Communication, Computer Architecture, Computer Networking, Marketing, Microarchitecture, Network Model, Operations Research, Probability & Statistics, R Programming, Research and Design, Spreadsheet Software, Statistical Tests, Strategy and Operations, Theoretical Computer Science",4.8,"2,520",intermediate,1-4 weeks,course,free
Automated Reasoning: satisfiability,https://www.coursera.org/learn/automated-reasoning-sat,EIT Digital,"Skills you'll gain: Theoretical Computer Science, Computational Logic, Algorithms",4.7,"4,110",intermediate,1-4 weeks,course,free
Enterprise Java Beans (EJBs) and the Jakarta Persistence API (JPA),https://www.coursera.org/learn/enterprise-java-beans-jakarta-persistence-api,LearnQuest,"Skills you'll gain: Other Web Frameworks, Software Architecture, Software Engineering, Theoretical Computer Science, Web Development",4.8,,intermediate,1-4 weeks,course,free
Object-Oriented Java: Inheritance and Encapsulation,https://www.coursera.org/learn/object-oriented-java-inheritance-and-encapsulation,Codio,"Skills you'll gain: Web Development, Computer Programming, Communication, Computer Science, Java Programming, Javascript, Journalism",3.8,,intermediate,1-4 weeks,course,free
Managing Scope in a Java Enterprise Edition Application,https://www.coursera.org/learn/managing-scope-java-enterprise-edition-application,LearnQuest,"Skills you'll gain: Other Web Frameworks, Software Architecture, Software Engineering, Theoretical Computer Science, Web Development, Computer Programming, Java Programming, Mobile Development",4.3,,intermediate,1-4 weeks,course,free
Visual Basic Programming: Classes and Collections,https://www.coursera.org/learn/visual-basic-classes-collections,LearnQuest,"Skills you'll gain: Computer Programming, Other Programming Languages, Computer Programming Tools, Data Management, Data Structures, Theoretical Computer Science",4.5,,intermediate,1-4 weeks,course,free
Essential Cloud Infrastructure: Foundation em PortuguÍs Brasileiro,https://www.coursera.org/learn/gcp-infrastructure-foundation-br,Google Cloud,"Skills you'll gain: Cloud Computing, Google Cloud Platform, Computer Networking, Operating Systems, Systems Design, Theoretical Computer Science",4.8,"2,130",intermediate,1-4 weeks,course,free
JavaScript Security Part 2,https://www.coursera.org/learn/javascript-security-part-2,Infosec,"Skills you'll gain: Computer Networking, Computer Programming, Cryptography, Cyberattacks, Network Security, Security Engineering, Software Security, Theoretical Computer Science",,,intermediate,1-4 weeks,course,free
JavaScript Deep Dive,https://www.coursera.org/learn/javascript-deep-dive,Scrimba,"Skills you'll gain: Computer Programming, Computer Science, Javascript, Web Development",,,intermediate,1-4 weeks,course,free
"Application Deployment, Debug, Performance ????",https://www.coursera.org/learn/app-deployment-debugging-performance-jp,Google Cloud,"Skills you'll gain: Computer Programming, Cloud Computing, Google Cloud Platform, Theoretical Computer Science, Performance Management, Strategy and Operations",4.4,,intermediate,1-4 weeks,course,free
ANOVA and Experimental Design,https://www.coursera.org/learn/anova-and-experimental-design,University of Colorado Boulder,"Skills you'll gain: Probability & Statistics, Experiment, General Statistics, Business Analysis, Data Analysis, Statistical Analysis, Statistical Tests, Econometrics, Regression, Calculus, Linear Algebra",4.1,"2,319",intermediate,1-4 weeks,course,free
Fundamentals of Data Visualization,https://www.coursera.org/learn/fundamentals-of-data-visualization,University of Colorado Boulder,Skills you'll gain: Data Visualization,4.8,"3,017",intermediate,1-4 weeks,course,free
Generalized Linear Models and Nonparametric Regression,https://www.coursera.org/learn/generalized-linear-models-and-nonparametric-regression,University of Colorado Boulder,"Skills you'll gain: Mathematics, Probability & Statistics, Regression, General Statistics, Business Analysis, Data Analysis, Machine Learning, Machine Learning Algorithms, Statistical Analysis, Calculus, Communication, Linear Algebra, Marketing",4.1,"2,339",intermediate,1-4 weeks,course,free
Fundamentals of Machine Learning in Finance,https://www.coursera.org/learn/fundamentals-machine-learning-in-finance,New York University,"Skills you'll gain: Machine Learning, Markov Model",3.8,"18,496",intermediate,1-4 weeks,course,free
Arm Cortex-M Processors Overview,https://www.coursera.org/learn/arm-cortex-m-processors-overview-course1,Arm,Skills you'll gain: Computer Architecture,4.8,,intermediate,1-4 weeks,course,free
Data Mining Pipeline,https://www.coursera.org/learn/data-mining-pipeline,University of Colorado Boulder,"Skills you'll gain: Data Management, Data Analysis, Data Mining, Data Warehousing, General Statistics, Probability & Statistics",3.1,"3,639",intermediate,1-4 weeks,course,free
Data Mining Project,https://www.coursera.org/learn/data-mining-theory-practice-project,University of Colorado Boulder,"Skills you'll gain: Data Analysis, Data Mining, Machine Learning",,,intermediate,1-4 weeks,course,free
System Validation (2): Model process behaviour,https://www.coursera.org/learn/system-validation-behavior,EIT Digital,"Skills you'll gain: Communication, Marketing",4.3,"3,578",intermediate,1-4 weeks,course,free
Network Analysis for Marketing Analytics,https://www.coursera.org/learn/network-analysis-for-marketing-analytics,University of Colorado Boulder,"Skills you'll gain: Network Analysis, Python Programming",,,intermediate,1-4 weeks,course,free
Solving Algorithms for Discrete Optimization,https://www.coursera.org/learn/solving-algorithms-discrete-optimization,The University of Melbourne,"Skills you'll gain: Algebra, Mathematical Theory & Analysis",4.8,"9,067",intermediate,1-4 weeks,course,free
Approximation Algorithms,https://www.coursera.org/learn/approximation-algorithms,EIT Digital,Skills you'll gain: Theoretical Computer Science,4.7,"5,511",intermediate,1-4 weeks,course,free
Calculus through Data & Modelling: Vector Calculus,https://www.coursera.org/learn/calculus-through-data-and-modelling-vector-calculus,Johns Hopkins University,"Skills you'll gain: Calculus, Mathematics, Linear Algebra, Leadership and Management",4.8,"1,662",intermediate,1-4 weeks,course,free
"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",https://www.coursera.org/learn/introduction-tensorflow,DeepLearning.AI,"Skills you'll gain: Machine Learning, Tensorflow, Computer Vision, Deep Learning, Artificial Neural Networks, Computer Programming, Python Programming, Statistical Programming, Applied Machine Learning, Programming Principles, Computer Graphic Techniques, Computer Graphics, Machine Learning Algorithms, Machine Learning Software",4.8,"3,23,039",intermediate,1-4 weeks,course,free
Building Scalable Java Microservices with Spring Boot and Spring Cloud,https://www.coursera.org/learn/google-cloud-java-spring,Google Cloud,"Skills you'll gain: Cloud Computing, Computer Programming, Google Cloud Platform, Business Analysis, Data Visualization, Data Visualization Software, Kubernetes, Operating Systems, Other Web Frameworks, Programming Principles, Software Engineering, System Programming, Web Development",4.3,"82,387",intermediate,1-4 weeks,course,free
Developing Front-End Apps with React,https://www.coursera.org/learn/developing-frontend-apps-with-react,IBM Skills Network,"Skills you'll gain: React (web framework), Web Development, Front-End Web Development, Computer Programming, Design and Product, Full-Stack Web Development, Human Computer Interaction, Javascript, Software Engineering, Software Testing, User Experience, User Research",4.6,"7,601",intermediate,1-4 weeks,course,free
Introduction to Structured Query Language (SQL),https://www.coursera.org/learn/intro-sql,University of Michigan,"Skills you'll gain: Databases, SQL, Data Management, Database Application, Database Design, Statistical Programming",4.8,"1,76,156",intermediate,1-4 weeks,course,free
Database Design and Basic SQL in PostgreSQL,https://www.coursera.org/learn/database-design-postgresql,University of Michigan,"Skills you'll gain: SQL, Databases, Database Application, Database Design, Data Management, Data Model, PostgreSQL, Statistical Programming",4.8,"26,338",intermediate,1-4 weeks,course,free
